gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum,,,
SIN3A,68,48,17,24,21,193,,,
UBE2J1,51,37,38,33,22,193,,,
INTS5,51,16,70,28,18,192,,,
ATRN,50,13,47,26,53,191,,,
CD3EAP,47,20,41,41,43,191,,,
DAD1,57,22,26,44,42,191,,,
DDX50,24,29,87,25,21,191,,,
DENR,74,21,51,27,22,191,,,
MED24,71,36,24,26,31,191,,,
RECQL4,57,33,46,25,29,191,,,
RPS25,41,11,47,40,55,191,,,
SEC61A1,67,15,59,28,21,191,,,
SGK223,72,25,26,17,55,191,,,
SPOP,62,36,44,30,12,191,,,
KIAA0226L,50,54,57,17,10,190,,,
KIF14,62,31,38,30,23,190,,,
MCM7,68,19,35,35,22,190,,,
MGAT1,27,18,113,24,6,190,,,
COX7C,78,31,42,26,14,189,,,
OPLAH,38,19,51,34,39,189,,,
RPA3,49,32,27,37,40,189,,,
AK6,43,14,67,25,28,187,,,
CDKN1A,47,42,51,36,11,187,,,
HNRNPH2,42,35,85,20,9,187,,,
PWP1,67,31,28,40,21,187,,,
SS18L2,49,24,75,23,9,187,,,
TMEM258,74,21,18,27,50,187,,,
ATP6V1H,19,37,95,17,6,186,,,
HSPA5,47,38,62,12,23,186,,,
TIMM23,49,18,74,7,37,186,,,
RIF1,42,13,41,59,27,185,,,
TCEB1,53,38,29,36,20,185,,,
POLA1,57,39,39,28,18,184,,,
VHL,74,52,29,10,19,184,,,
VPS13D,55,20,55,24,31,184,,,
VPS18,68,26,28,27,32,184,,,
LOC645382,57,30,40,12,35,183,,,
MAP3K11,45,59,59,11,4,183,,,
TSEN2,32,23,64,53,6,183,,,
ALG12,28,84,39,16,19,182,,,
ALG3,49,79,16,18,16,182,,,
FAM157B,49,22,48,29,34,182,,,
FNTB,49,30,78,13,4,182,,,
POLR3A,35,24,45,53,24,182,,,
RPS10,28,22,51,32,42,182,,,
SLC52A2,50,51,46,14,15,182,,,
WAPL,34,31,58,28,30,182,,,
C10orf2,63,34,39,17,26,181,,,
EIF3A,68,19,23,38,31,181,,,
KIF5B,57,12,78,15,22,181,,,
LOC107984813,47,51,54,11,9,181,,,
RTEL1,41,22,29,60,32,181,,,
TONSL,57,28,23,46,19,181,,,
ZNF222,67,50,48,13,7,181,,,
MAD1L1,65,48,49,5,13,180,,,
NCKAP1,56,9,52,38,15,180,,,
PPP1R11,29,50,85,7,10,180,,,
RAD54B,52,57,40,12,9,180,,,
C16orf93,29,24,51,49,18,179,,,
CCDC93,31,32,75,8,26,179,,,
FPGS,45,30,54,16,22,179,,,
KLF5,56,23,31,25,37,179,,,
FCGR2A,27,61,68,14,9,178,,,
FLII,53,39,58,16,13,178,,,
DNM2,59,32,40,21,15,177,,,
MYADM,46,37,64,6,18,177,,,
PBRM1,58,18,16,46,39,177,,,
RCC1,78,11,25,26,44,177,,,
SEC63,51,14,20,49,37,177,,,
TXLNA,22,39,78,19,16,177,,,
ARHGEF7,46,22,52,36,19,176,,,
BRD7,45,27,64,20,18,176,,,
CAMK2N2,64,62,40,7,2,176,,,
CDC23,55,37,50,3,34,176,,,
COPS4,57,16,15,43,46,176,,,
DIEXF,56,16,46,41,17,176,,,
MAGED1,59,54,27,10,22,176,,,
MAK16,87,14,19,31,31,176,,,
NOP56,51,20,24,35,38,175,,,
AP2M1,77,15,29,18,31,174,,,
BMS1,47,12,22,48,35,174,,,
GRAMD1A,29,12,64,26,41,174,,,
HID1,30,27,63,11,38,174,,,
MED17,43,43,55,19,12,174,,,
RPN2,43,23,17,43,42,174,,,
SEL1L,34,17,66,14,41,174,,,
YWHAE,26,21,56,37,28,174,,,
COG4,33,13,95,11,14,173,,,
PDIA2,30,33,81,8,20,173,,,
UTP11L,56,14,25,45,24,173,,,
CHMP6,45,31,70,8,11,172,,,
PRTG,54,39,40,22,7,172,,,
SLC25A16,57,24,78,6,3,172,,,
SLC39A1,71,27,32,9,26,172,,,
ZFP82,39,48,56,3,27,172,,,
FGD1,45,34,48,19,16,171,,,
JMJD7,68,38,20,37,9,171,,,
MED9,52,36,47,8,14,171,,,
NRBP1,93,44,7,15,13,171,,,
POLR1B,72,24,20,38,17,171,,,
PRELID3B,63,15,61,13,17,171,,,
USP36,42,19,44,37,22,171,,,
DHX36,39,29,41,40,15,170,,,
SRFBP1,59,7,12,44,48,170,,,
ARSG,43,51,53,14,6,169,,,
DBR1,80,13,25,33,15,169,,,
DUSP16,38,36,72,9,11,169,,,
HIRA,34,23,60,14,39,169,,,
RRP36,41,27,22,41,39,169,,,
ZFR,66,25,24,26,27,169,,,
BUD23,62,18,25,23,28,168,,,
C21orf59-TCP10L,42,20,42,18,41,168,,,
CNBD2,43,16,54,32,18,168,,,
PAK1IP1,29,20,67,33,19,168,,,
SNORC,30,21,42,33,37,168,,,
XRN2,56,22,16,41,29,168,,,
C2orf27A,39,15,17,45,50,167,,,
FAM234A,43,22,35,26,32,167,,,
LARS,41,13,56,33,22,167,,,
MCM2,49,32,41,26,18,167,,,
PAM,61,46,45,7,4,167,,,
SH3D21,36,31,68,6,16,167,,,
TPST1,72,11,44,19,23,167,,,
UTP18,52,13,29,30,41,167,,,
C5orf17,58,47,34,17,3,166,,,
CAPZB,50,41,35,14,15,166,,,
MYC,68,23,16,32,21,166,,,
PSMA5,63,10,33,9,46,166,,,
PSMB1,74,20,49,16,9,166,,,
ARF1,31,4,59,41,30,165,,,
CCNT2,47,33,69,8,5,165,,,
G3BP1,24,44,68,8,18,165,,,
GMPPB,24,78,29,9,18,165,,,
HUWE1,82,13,23,32,16,165,,,
UBE2V2,19,24,84,30,3,165,,,
UMPS,59,22,30,45,14,165,,,
VKORC1L1,69,30,55,8,3,165,,,
ADGRD2,44,12,30,56,19,164,,,
COBL,54,27,48,8,22,164,,,
CYB561D1,54,27,43,19,8,164,,,
GRB2,63,31,42,14,2,164,,,
LIMS1,59,20,19,38,31,164,,,
MGAT5,57,20,55,10,12,164,,,
NUP85,56,23,45,19,17,164,,,
ST3GAL4,17,10,111,11,13,164,,,
EXOSC9,38,12,19,51,42,163,,,
LOC112267939,53,13,60,15,16,163,,,
MED20,47,43,36,22,22,163,,,
PEMT,36,27,60,16,21,163,,,
PHB2,52,28,43,26,11,163,,,
RNF181,48,31,68,11,7,163,,,
SLC9A3,56,17,37,20,17,163,,,
TLN1,41,18,37,40,21,163,,,
TRPS1,59,33,48,12,6,163,,,
CCDC189,49,26,48,11,23,162,,,
CDC42,46,35,23,30,23,162,,,
CSNK2A1,67,18,39,17,21,162,,,
ELAVL1,47,7,70,7,28,162,,,
IQCD,41,19,49,27,16,162,,,
P4HB,52,30,40,12,23,162,,,
SLTM,50,34,31,1,43,162,,,
SPG7,44,38,43,14,11,162,,,
ST8SIA5,51,39,56,7,11,162,,,
C12orf45,26,15,22,41,56,161,,,
EPM2A,22,21,61,45,7,161,,,
JTB,56,23,43,14,20,161,,,
PLPPR3,54,23,27,33,9,161,,,
PPP6C,33,14,37,26,53,161,,,
RAB5C,30,22,63,19,24,161,,,
SLC35A1,11,5,122,3,23,161,,,
CCDC59,45,8,33,33,39,160,,,
CRTC3,33,22,76,8,16,160,,,
LOC100996911,22,35,73,14,18,160,,,
RPS28,40,29,38,24,32,160,,,
TAF8,43,25,43,22,21,160,,,
UBA1,60,25,37,15,23,160,,,
VSTM2L,38,27,37,50,5,160,,,
ZNF335,57,4,49,12,34,160,,,
C12orf56,61,21,30,27,12,159,,,
IMP3,41,23,48,29,17,159,,,
KATNB1,39,23,40,25,31,159,,,
MRPS30,29,20,62,19,29,159,,,
PDCD11,56,15,29,22,40,159,,,
WDR46,41,8,24,35,48,159,,,
ZER1,52,34,19,43,8,159,,,
ATP6V1D,33,14,61,20,18,158,,,
CCT6A,35,24,48,27,4,158,,,
DPM2,40,81,9,12,15,158,,,
EIF4A1,38,20,48,19,28,158,,,
PAICS,50,14,64,16,20,158,,,
RPAP1,35,21,22,49,26,158,,,
ATIC,38,24,51,8,34,157,,,
BUB3,57,19,28,23,26,157,,,
CAB39,13,3,71,5,69,157,,,
DDX46,26,8,49,14,54,157,,,
LOC102724843,36,19,41,34,18,157,,,
LUC7L3,24,23,53,9,42,157,,,
NRIP3,35,40,49,15,16,157,,,
RAPH1,21,3,32,39,57,157,,,
2-Sep,39,23,56,5,33,157,,,2-Sep
TTI2,50,39,35,12,11,157,,,
ZNF443,12,9,81,19,32,157,,,
CDC7,38,30,57,23,8,156,,,
EXOSC2,56,17,25,37,12,156,,,
HINFP,47,14,53,18,21,156,,,
KIF11,32,11,48,30,31,156,,,
NSD3,44,29,41,13,21,156,,,
SLC39A14,53,28,40,9,23,156,,,
ZNF606,33,37,60,4,21,156,,,
ADSS,45,23,46,21,19,155,,,
ALDOA,38,26,37,19,12,155,,,
C17orf82,45,19,39,37,8,155,,,
ERI3,23,44,62,8,17,155,,,
LIN52,33,24,59,9,31,155,,,
MAML3,39,11,39,44,21,155,,,
PPFIA1,57,5,28,15,44,155,,,
RIPOR3,29,30,48,25,19,155,,,
RPL31,58,19,16,42,13,155,,,
SNAPC2,42,13,48,12,37,155,,,
SWI5,38,42,28,27,18,155,,,
TSPAN13,48,42,53,7,6,155,,,
ZDHHC8,35,32,59,12,17,155,,,
ZMYM4,62,19,26,28,20,155,,,
ZNF598,29,29,64,10,20,155,,,
CFAP20,48,22,57,14,6,154,,,
GANAB,27,19,10,51,45,154,,,
GTPBP4,74,26,12,19,25,154,,,
LHX6,33,16,32,40,27,154,,,
LOC645202,47,21,32,32,11,154,,,
MALSU1,63,37,34,8,7,154,,,
PPRC1,26,17,36,41,36,154,,,
RAB7A,26,6,76,8,29,154,,,
TOP2A,46,39,21,20,17,154,,,
WDR88,32,53,56,6,10,154,,,
ZNF3,31,14,47,44,16,154,,,
ASCC3,24,23,20,54,25,153,,,
FUT2,51,17,27,10,47,153,,,
ID3,47,43,46,13,8,153,,,
MED6,41,24,54,13,23,153,,,
NCBP1,57,12,29,16,32,153,,,
NELFCD,51,14,35,16,26,153,,,
PPP4R3B,34,23,44,15,24,153,,,
PTGES3L,33,21,51,26,14,153,,,
RPN1,73,12,17,23,31,153,,,
SF3B4,51,13,42,11,35,153,,,
SLC47A2,52,25,55,20,5,153,,,
TRIAP1,44,16,7,44,35,153,,,
ZNF880,14,37,64,6,30,153,,,
DDX55,60,15,37,25,13,152,,,
EHMT1,48,14,33,26,21,152,,,
GMPS,13,22,38,28,55,152,,,
LOC102723534,55,27,18,29,20,152,,,
LOC105376525,46,17,59,17,13,152,,,
PRMT5,21,19,48,37,25,152,,,
RLTPR,35,18,28,34,28,152,,,
SART3,62,31,39,10,8,152,,,
SRP72,66,12,10,15,48,152,,,
TBR1,60,49,20,9,6,152,,,
DOCK7,23,21,30,51,30,151,,,
EXOSC6,37,24,52,8,31,151,,,
FBP1,35,20,65,12,10,151,,,
KLC3,41,14,55,5,36,151,,,
LRPPRC,15,23,49,14,46,151,,,
MCRIP2,52,35,35,11,11,151,,,
POP5,33,18,19,30,46,151,,,
RAD51C,40,18,35,24,37,151,,,
RPL23,23,56,60,10,5,151,,,
SACM1L,25,44,52,16,17,151,,,
STARD7,51,7,63,7,25,151,,,
TELO2,37,15,51,16,20,151,,,
TUBGCP6,21,24,66,3,33,151,,,
VCL,36,28,49,33,9,151,,,
VMP1,31,28,44,15,26,151,,,
WDR44,42,8,52,6,43,151,,,
FGFR1OP,43,19,55,8,26,150,,,
GFER,33,17,19,43,30,150,,,
LOC107984314,27,45,69,4,6,150,,,
LOXL2,39,34,57,9,11,150,,,
NOCT,29,40,49,13,16,150,,,
PPP1CA,39,10,35,22,41,150,,,
ADSL,33,21,18,26,53,149,,,
CDK13,37,19,23,49,11,149,,,
CHRNA3,26,27,78,14,4,149,,,
LOC644249,38,19,34,7,48,149,,,
MAP6D1,50,40,30,13,10,149,,,
NUDCD3,30,11,77,11,12,149,,,
PDAP1,60,22,44,13,8,149,,,
RPA2,57,17,22,35,14,149,,,
ALG2,56,34,21,11,25,148,,,
ATP5L2,48,46,35,8,7,148,,,
BCAS2,48,14,63,11,12,148,,,
CHD8,35,11,18,32,49,148,,,
E2F8,37,16,59,16,24,148,,,
KRI1,31,27,27,28,29,148,,,
LOC107987397,51,25,27,19,15,148,,,
MARCHF6,58,19,37,24,8,148,,,
NOP14,65,12,39,15,18,148,,,
NUDT21,51,28,28,20,17,148,,,
RCL1,44,27,22,18,24,148,,,
SCMH1,46,31,47,7,13,148,,,
SUGT1,47,22,53,15,10,148,,,
TAF13,51,20,18,40,17,148,,,
TMEM131L,44,43,40,20,6,148,,,
VAMP7,33,36,57,5,16,148,,,
APC,34,18,47,21,28,147,,,
ATP6AP1,38,12,32,23,34,147,,,
DEFB131,33,40,47,12,14,147,,,
LOC100996643,53,11,53,11,18,147,,,
RFLNA,32,41,40,12,20,147,,,
SCFD1,14,22,93,4,11,147,,,
SP6,36,36,35,13,14,147,,,
UBAP1,47,8,62,18,5,147,,,
VDAC1,12,47,74,9,3,147,,,
ZNF225,43,23,56,4,21,147,,,
CIT,41,20,22,29,18,146,,,
DHX29,40,13,41,15,24,146,,,
EFTUD2,36,49,47,2,6,146,,,
HMGCS1,64,30,33,13,4,146,,,
HS3ST3A1,39,27,28,44,7,146,,,
PMAIP1,45,29,49,11,11,146,,,
POLD3,41,24,24,48,8,146,,,
SEMA5B,36,21,56,15,12,146,,,
CCDC32,56,22,17,19,26,145,,,
GAR1,48,32,53,5,9,145,,,
KIAA1683,50,28,25,21,11,145,,,
NDNL2,48,28,29,23,16,145,,,
NFYC,47,31,26,30,7,145,,,
NPIPA2,42,20,49,7,23,145,,,
NPIPB6,29,10,25,57,23,145,,,
SLC38A7,23,12,59,9,37,145,,,
ST7L,33,35,51,14,10,145,,,
TIMM29,27,41,60,6,11,145,,,
TRIML1,53,22,27,7,37,145,,,
VPS28,31,13,70,9,17,145,,,
ZNF324B,39,17,40,10,41,145,,,
ABR,44,36,58,4,3,144,,,
ADAMTS2,40,36,46,6,5,144,,,
C2CD3,26,37,56,9,14,144,,,
C8orf37,60,46,23,7,5,144,,,
DHX33,45,20,21,19,40,144,,,
EEF2KMT,55,17,39,13,14,144,,,
EFCAB6,53,27,41,5,13,144,,,
KLK3,23,23,54,33,4,144,,,
LDHD,37,25,56,9,11,144,,,
MDM2,41,24,55,14,12,144,,,
POLR3D,35,45,35,10,19,144,,,
PPP2CA,45,12,58,13,12,144,,,
SRBD1,47,36,35,12,7,144,,,
TARSL2,56,42,29,7,9,144,,,
TIMELESS,42,27,25,35,7,144,,,
TSR2,31,19,16,42,33,144,,,
CCDC146,27,21,66,7,22,143,,,
DDX52,45,22,20,31,26,143,,,
EMG1,30,12,40,23,36,143,,,
FAM216A,24,16,71,22,5,143,,,
LOC388849,23,27,49,11,23,143,,,
LSM3,64,22,24,18,11,143,,,
NHP2,34,14,57,12,20,143,,,
OVGP1,25,23,57,9,22,143,,,
PER1,39,23,52,13,14,143,,,
RPS4X,20,21,48,27,22,143,,,
SERTAD2,20,9,47,29,34,143,,,
TCEB3,28,19,58,12,15,143,,,
TPH2,30,28,54,25,2,143,,,
TRMT5,57,19,17,26,21,143,,,
URB2,62,51,10,11,6,143,,,
XRCC6,52,11,46,18,20,143,,,
CCDC6,36,12,31,41,21,142,,,
DYNC1LI1,24,37,69,7,9,142,,,
LSM4,42,19,33,16,29,142,,,
MTRF1,42,22,69,7,2,142,,,
PARP16,53,22,28,13,27,142,,,
PCDHGB6,52,19,15,24,30,142,,,
PGAM1,45,38,33,14,12,142,,,
PROSER1,40,31,39,12,19,142,,,
RBL1,58,13,41,9,23,142,,,
TNFRSF1A,57,21,28,20,10,142,,,
ALG1,19,20,68,8,28,141,,,
GDI1,49,18,46,12,15,141,,,
JAK1,52,32,36,2,19,141,,,
PNISR,59,12,33,27,14,141,,,
POLR1D,51,10,16,27,38,141,,,
PYROXD1,44,16,42,28,7,141,,,
SUPT4H1,27,23,45,11,36,141,,,
SYS1,19,24,54,27,13,141,,,
TBC1D4,48,30,42,5,16,141,,,
TFRC,65,16,16,28,10,141,,,
TTC19,40,35,41,11,6,141,,,
ZSWIM6,69,22,8,16,13,141,,,
COG2,6,20,99,5,11,140,,,
GTF2B,28,28,25,38,19,140,,,
NOSIP,24,5,43,17,46,140,,,
PARL,41,23,23,29,20,140,,,
RASL11A,36,42,36,7,11,140,,,
RTCA,34,13,53,18,22,140,,,
SAMM50,95,12,7,11,19,140,,,
TBL1XR1,24,4,28,20,58,140,,,
ZNF664-FAM101A,25,36,58,11,9,140,,,
AGO2,42,33,27,16,12,139,,,
CFDP1,58,25,25,12,10,139,,,
DNAJC11,64,15,7,16,31,139,,,
ELAC2,13,41,65,12,8,139,,,
EPPK1,44,20,30,20,16,139,,,
FAM83B,29,46,42,4,18,139,,,
GART,41,17,41,24,15,139,,,
GPATCH8,46,17,47,18,12,139,,,
ILF2,47,13,18,9,49,139,,,
LCNL1,52,22,41,1,15,139,,,
NDUFA2,34,53,32,13,6,139,,,
PPM1H,26,37,53,3,18,139,,,
TMEM41A,54,28,29,14,12,139,,,
AMD1,22,8,47,6,56,138,,,
DAZAP1,57,34,27,11,5,138,,,
DLL4,19,24,60,7,20,138,,,
IKZF1,47,14,33,26,16,138,,,
KIF23,26,31,16,41,18,138,,,
LOC102723859,30,36,47,12,9,138,,,
LOC105379547,32,15,17,53,21,138,,,
MZF1,37,13,25,38,25,138,,,
NADSYN1,22,32,47,12,25,138,,,
NEURL2,33,4,60,16,29,138,,,
NUDT16,31,10,48,24,24,138,,,
PIAS1,37,19,45,7,31,138,,,
PRR15L,33,26,46,12,19,138,,,
PTCHD2,31,20,43,20,18,138,,,
RPS6,41,9,18,31,37,138,,,
SLC51B,20,23,78,7,8,138,,,
SPAG1,47,45,36,2,5,138,,,
SRP54,50,13,6,28,33,138,,,
VPS37C,16,16,42,19,43,138,,,
BANP,32,13,30,35,24,137,,,
CARMIL2,54,15,20,10,23,137,,,
CCAR1,60,28,22,5,18,137,,,
CYFIP1,14,15,75,6,19,137,,,
DUSP27,29,15,54,12,26,137,,,
FIGNL1,46,36,27,15,7,137,,,
HNRNPL,34,16,35,12,30,137,,,
MAU2,54,26,19,33,7,137,,,
RPS15,36,18,18,48,18,137,,,
RYK,43,27,42,9,16,137,,,
SDC2,35,25,57,12,7,137,,,
SMURF2,19,46,59,12,2,137,,,
SSRP1,70,11,16,32,8,137,,,
SUPT16H,31,23,27,31,22,137,,,
TAOK2,37,12,51,16,11,137,,,
TGIF2-C20ORF24,48,26,33,13,10,137,,,
WDR1,32,8,25,18,57,137,,,
AP2S1,61,19,19,21,13,136,,,
DCTN5,15,18,70,15,7,136,,,
FOXD4L6,38,14,46,14,27,136,,,
IGIP,59,40,23,9,7,136,,,
KIAA2018,26,20,55,12,13,136,,,
NUP37,36,32,32,9,26,136,,,
RPS3,34,8,29,24,34,136,,,
SCRT1,47,23,25,17,13,136,,,
SLBP,39,26,32,20,6,136,,,
SLC7A6OS,23,27,34,20,27,136,,,
