gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum,,
TELO2,25,19,46,18,35,146,,
LOC102724159,55,9,16,18,39,145,,
ZPR1,51,9,22,29,32,145,,
ATP6AP1,14,16,82,9,23,145,,
LTV1,34,12,15,52,29,143,,
PPP2R3C,38,13,35,9,47,143,,
LOC107986838,40,51,49,5,3,143,,
LLGL1,38,16,52,16,19,143,,
COG4,13,19,89,16,9,143,,
MGAT1,12,18,96,4,16,143,,
FARSA,38,7,9,24,57,142,,
C12orf45,25,13,16,47,37,142,,
DAD1,38,15,18,33,34,142,,
ASNS,32,13,29,13,51,142,,
SF3A3,41,38,43,10,11,142,,
PIK3C3,23,17,64,14,25,142,,
ATP6V1E1,30,16,66,15,15,142,,
LSM11,27,23,25,46,20,141,,
MYC,52,35,22,16,13,140,,
MOB4,36,3,31,33,30,140,,
TAF7,48,25,35,17,13,140,,
SMC1A,32,34,37,23,10,140,,
FERMT2,30,5,22,31,45,139,,
TNPO1,46,9,28,3,51,139,,
DDX52,30,24,35,22,21,139,,
ATP6V1A,41,13,57,13,12,139,,
RIOK2,51,8,11,37,21,138,,
AP2S1,36,25,41,19,8,137,,
EXOSC10,42,33,44,9,10,137,,
ARID1A,46,21,47,12,8,136,,
FOXC1,28,9,54,6,33,136,,
KIF5B,33,2,59,7,31,136,,
MED23,49,25,12,25,15,135,,
SP1,60,27,12,22,8,135,,
GPN2,33,21,14,24,39,135,,
CAB39,31,22,15,9,58,135,,
DHX37,36,9,17,30,32,135,,
NRBP1,63,39,20,7,5,135,,
ARHGEF7,40,13,28,45,6,135,,
PRKCSH,31,24,32,26,22,135,,
FARSB,41,15,32,21,19,135,,
RRP7A,24,13,13,45,33,134,,
SF3B2,20,42,32,5,33,134,,
COG2,7,33,79,11,5,134,,
EIF4E,40,7,9,42,34,133,,
POP4,49,16,15,18,28,133,,
COPS4,33,8,17,24,47,133,,
DIMT1,34,10,18,25,37,133,,
FLCN,44,26,36,12,16,133,,
SNRNP200,30,11,49,8,25,133,,
POP5,32,7,11,28,43,132,,
MCM5,51,18,22,24,12,132,,
GMPS,24,14,32,20,42,132,,
CNTD1,31,37,52,6,1,132,,
SGK223,41,25,15,7,42,131,,
PRIM2,43,37,22,26,5,131,,
MESDC2,46,12,38,21,16,131,,
OAF,41,37,41,3,6,131,,
PAK1IP1,17,12,74,9,8,131,,
KLF5,53,6,14,15,39,130,,
CS,28,9,17,13,54,130,,
KATNA1,31,19,26,5,45,129,,
CCDC93,22,11,35,20,37,129,,
RNF114,24,24,59,7,13,129,,
MED24,49,13,8,26,31,128,,
CCNC,37,32,11,18,19,128,,
TIMELESS,41,23,17,41,7,128,,
NEPRO,17,8,21,40,38,128,,
DDX18,32,6,21,39,22,128,,
SPOP,41,27,26,20,6,128,,
SRP14,25,10,27,18,44,128,,
NUP50,33,14,28,6,40,128,,
RPP14,38,7,29,43,7,128,,
WDR18,29,28,54,5,12,128,,
PPP4C,34,23,17,28,24,127,,
DNMT1,35,4,27,9,46,127,,
CDK8,45,22,29,11,18,127,,
RPL13A,40,29,30,15,7,127,,
JUNB,41,17,38,23,6,127,,
B3GNTL1,32,32,46,5,10,127,,
RRP36,40,15,3,23,39,126,,
FHL2,42,15,17,17,27,126,,
ATP5L,23,13,19,15,49,126,,
B3GNT7,28,18,35,26,9,126,,
NIP7,17,26,61,15,4,126,,
RPS21,31,10,8,38,35,125,,
SRP9,17,17,22,10,55,125,,
CDC27,19,10,29,27,25,125,,
SOX18,33,17,37,5,29,125,,
NOP10,26,6,10,47,33,124,,
TUFM,20,12,15,27,47,124,,
NOL6,32,14,15,34,20,124,,
NRF1,20,7,25,12,56,124,,
RIOK1,24,7,34,25,24,124,,
DOHH,29,12,45,8,26,124,,
MYBBP1A,14,13,47,6,36,124,,
NDUFA9,26,10,9,19,49,123,,
ENO1,52,24,11,14,17,123,,
WDR43,32,8,18,24,39,123,,
EXOC1,33,10,30,7,40,123,,
DDOST,16,36,40,11,15,123,,
RTN4R,17,31,42,6,27,123,,
NIPBL,28,15,46,30,3,123,,
CEP57,26,32,52,3,7,123,,
TVP23B,20,18,71,2,9,123,,
RAB7A,8,10,85,10,11,123,,
ALG9,19,69,10,18,4,122,,
DPM1,13,66,16,13,13,122,,
MPDU1,11,59,21,20,11,122,,
PTPN23,38,23,23,22,10,122,,
SETD3,16,11,27,20,45,122,,
EXOC3,16,12,49,6,30,122,,
LAS1L,10,33,59,5,17,122,,
UHRF1,24,11,19,6,52,121,,
DYRK1A,19,21,22,26,32,121,,
SYVN1,29,10,53,18,5,121,,
HUWE1,47,3,6,22,34,120,,
MRPS33,25,10,12,25,43,120,,
MED26,32,28,16,35,7,120,,
ZCRB1,27,17,18,47,12,120,,
UTP15,39,14,24,21,15,120,,
CDK13,19,20,25,33,14,120,,
TRAPPC5,17,12,66,17,5,120,,
GNE,7,4,87,13,7,120,,
RECQL4,34,23,7,36,21,119,,
NARS,40,5,12,25,34,119,,
RPN2,14,28,18,20,38,119,,
PDCD6IP,41,18,18,17,16,119,,
TMCO6,28,42,30,8,5,119,,
MAPK7,28,17,42,21,8,119,,
UTP11L,29,11,11,34,27,118,,
VCL,21,16,15,29,31,118,,
RBBP4,24,9,21,12,49,118,,
NOM1,37,9,26,15,29,118,,
PFAS,24,10,32,21,14,118,,
TADA3,24,27,39,18,8,118,,
TPD52L2,20,34,50,2,11,118,,
GFPT1,18,10,59,4,25,118,,
MRPL45,31,13,7,5,55,117,,
TANGO6,21,20,14,33,18,117,,
EIF1AD,22,11,16,29,33,117,,
BAZ1B,36,13,22,5,41,117,,
ARIH1,35,13,23,11,32,117,,
SGF29,19,13,23,23,32,117,,
COQ10B,31,36,36,6,7,117,,
PNO1,38,12,7,32,29,116,,
SETD1B,30,25,20,22,15,116,,
EEF2,29,9,21,29,22,116,,
NGDN,37,14,22,5,34,116,,
CENPJ,40,33,27,5,10,116,,
COQ5,30,23,29,8,19,116,,
RPP40,41,5,31,7,30,116,,
FLII,24,16,46,14,13,116,,
PLEKHF2,7,47,49,6,6,116,,
DCAF1,14,32,50,3,16,116,,
STK39,34,22,54,3,4,116,,
BCCIP,14,10,58,6,22,116,,
ATRX,35,9,3,15,44,115,,
RABIF,21,18,23,15,28,115,,
TAOK2,41,18,24,9,15,115,,
RAD51,35,22,24,20,10,115,,
HSD17B10,27,11,29,7,37,115,,
COG3,14,27,62,8,4,115,,
GINS2,45,13,13,25,18,114,,
PHLDA2,46,5,16,15,29,114,,
SLC35B1,28,8,20,26,27,114,,
EXOSC9,22,8,7,31,28,113,,
CREBBP,35,6,15,35,20,113,,
PSMB4,24,16,25,13,30,113,,
PDCD10,21,5,29,9,46,113,,
GRB2,30,22,29,19,1,113,,
DCTN5,21,13,48,11,9,113,,
ALG3,23,61,9,13,3,112,,
DNM1L,43,5,10,1,41,112,,
HINFP,27,11,12,28,25,112,,
PMPCB,38,6,13,10,40,112,,
POLRMT,13,9,16,28,45,112,,
CA1,22,24,43,15,3,112,,
PWP1,21,13,49,7,12,112,,
WRB,16,5,73,7,1,112,,
TMEM251,7,10,83,11,4,112,,
NCAPD2,25,11,13,16,28,111,,
UTP14A,25,5,18,30,25,111,,
VPS13D,41,13,18,12,22,111,,
ASF1A,20,7,29,6,45,111,,
PPP1R1A,31,31,46,4,0,111,,
RPF2,12,32,49,3,16,111,,
GET4,23,5,65,10,3,111,,
MRPS6,24,6,3,8,58,110,,
PARS2,21,5,4,21,54,110,,
NDUFA2,16,6,8,19,54,110,,
ATXN7L3,21,3,12,14,53,110,,
SKA2,21,26,17,18,29,110,,
VPS53,20,24,49,9,11,110,,
MRGBP,10,7,56,6,27,110,,
ATP6V0D1,16,10,60,9,13,110,,
CAD,13,22,9,5,58,109,,
SOD1,18,14,10,53,9,109,,
UTP6,45,5,13,16,27,109,,
RBX1,32,29,13,11,22,109,,
RPS15,33,27,17,10,19,109,,
CAPZB,31,14,18,19,20,109,,
MED7,32,37,23,3,9,109,,
PRPF4,24,46,24,10,3,109,,
RPL15,21,27,29,4,21,109,,
DDT,32,31,42,7,2,109,,
TRAPPC3,22,17,44,18,8,109,,
ARPC3,21,8,45,5,23,109,,
SERTM1,25,28,48,2,1,109,,
POP1,23,6,8,47,23,108,,
MDH2,12,10,10,7,63,108,,
HYOU1,29,16,17,17,24,108,,
VPS52,24,40,21,10,14,108,,
DNAJC30,36,34,21,4,3,108,,
NELFB,30,8,24,20,25,108,,
RMND1,15,17,30,2,41,108,,
ATP6V1F,21,4,45,13,28,108,,
DIEXF,16,2,12,43,22,107,,
MRPL13,24,7,13,9,57,107,,
GTF3C3,18,12,13,36,26,107,,
COMMD8,22,11,27,14,29,107,,
WDR73,25,33,30,10,4,107,,
USO1,15,11,61,8,9,107,,
COG6,7,3,71,3,17,107,,
CLPP,28,10,10,24,25,106,,
TRMT112,22,9,12,21,37,106,,
MRPL18,28,7,14,6,49,106,,
ELMO2,21,6,14,19,37,106,,
NOP56,19,7,15,35,24,106,,
SEC63,23,6,16,15,40,106,,
NUFIP1,25,2,16,29,24,106,,
HARS,54,4,16,10,18,106,,
MCM3,31,10,18,26,20,106,,
MOB3A,34,28,20,12,5,106,,
KPNB1,13,6,27,13,36,106,,
PTMS,21,33,27,6,9,106,,
TARDBP,19,20,36,24,5,106,,
LOC101929141,32,17,39,6,7,106,,
WTH3DI,20,17,49,4,13,106,,
ACTR1A,12,24,51,3,14,106,,
WDR7,18,5,63,5,13,106,,
HARS2,16,7,6,14,55,105,,
SSU72,27,11,6,28,27,105,,
POLR1B,30,10,9,34,20,105,,
RCC1,32,2,14,6,42,105,,
LOC105375112,11,18,32,6,30,105,,
PAICS,12,22,39,16,17,105,,
WDR55,13,13,61,9,5,105,,
MRPL49,17,7,6,13,56,104,,
NPLOC4,28,10,12,33,14,104,,
RPS23,28,9,13,32,20,104,,
AP1M1,46,16,14,10,13,104,,
PSMB6,29,31,22,10,8,104,,
NELFCD,21,7,24,6,37,104,,
NOL11,28,13,26,21,11,104,,
UBA3,38,12,28,11,5,104,,
CD59,22,7,37,10,26,104,,
ZNF148,26,7,40,20,10,104,,
LSG1,13,12,45,5,26,104,,
CRB2,21,22,54,2,3,104,,
ATP6V1G1,12,9,79,3,4,104,,
SLC35A1,5,1,96,2,1,104,,
CAND1,25,10,6,16,43,103,,
MRPL57,19,7,7,13,52,103,,
EIF1AX,37,20,8,10,25,103,,
ACTB,35,8,9,18,18,103,,
CDC23,20,24,10,20,26,103,,
MYH9,18,6,13,13,44,103,,
PTEN,40,6,14,5,34,103,,
VARS,20,8,26,31,12,103,,
EIF3CL,18,14,28,7,30,103,,
TBXA2R,24,43,28,5,2,103,,
C9orf78,38,19,30,8,3,103,,
TOX4,25,24,31,10,14,103,,
KRI1,40,17,5,14,22,102,,
NDUFV1,13,5,11,5,61,102,,
UAP1,20,15,22,5,40,102,,
RPL7L1,16,12,41,10,14,102,,
GTF3A,14,16,51,3,11,102,,
METAP1,15,2,59,8,13,102,,
NDUFA11,23,4,9,5,56,101,,
MTA2,28,11,13,1,43,101,,
SDHB,21,8,15,29,28,101,,
XRN1,27,11,18,10,34,101,,
SLC39A7,18,13,38,1,25,101,,
CDC73,14,22,41,10,15,101,,
KIF20A,15,14,49,4,9,101,,
SLC29A1,20,14,54,5,9,101,,
PTCD3,20,3,6,7,63,100,,
SLC31A1,28,9,8,20,30,100,,
DBR1,42,10,8,25,15,100,,
MRPL52,27,12,9,3,46,100,,
LOC105376906,24,5,13,34,16,100,,
NXT1,31,4,14,16,26,100,,
ROCK2,27,5,17,17,29,100,,
TOP3A,36,14,17,20,7,100,,
IPO9,14,3,22,0,53,100,,
GEMIN5,24,14,26,15,15,100,,
POLR3C,34,15,28,6,14,100,,
DDX20,28,18,29,13,7,100,,
CHD4,14,5,36,5,37,100,,
LOC440292,22,17,51,7,5,100,,
ZZEF1,29,10,52,9,1,100,,
ARL1,13,5,71,4,6,100,,
EIF5B,25,2,6,25,32,99,,
POLG2,21,7,7,6,46,99,,
SLC3A2,16,4,9,10,58,99,,
TSEN2,26,3,10,10,46,99,,
FOXRED1,17,27,12,1,41,99,,
EIF3D,23,13,13,26,20,99,,
DNM2,20,26,13,25,19,99,,
PGD,18,40,14,10,6,99,,
RBBP5,25,22,17,26,5,99,,
NDOR1,40,14,18,19,6,99,,
PMPCA,24,6,19,12,32,99,,
BUB3,25,31,19,9,13,99,,
SH3BP5,32,34,23,5,3,99,,
DET1,39,3,25,14,13,99,,
LOC112268076,19,21,27,5,27,99,,
SSBP1,14,12,28,5,34,99,,
POLR2A,23,21,37,8,5,99,,
USP8,18,10,39,14,17,99,,
VPS35,10,3,60,4,22,99,,
TFB2M,13,13,6,27,35,98,,
MRPL14,13,6,8,6,59,98,,
PDSS1,20,15,8,3,50,98,,
AURKAIP1,22,5,12,11,45,98,,
NDUFS1,9,2,16,8,59,98,,
LARS,24,10,16,5,40,98,,
OXA1L,31,10,17,11,31,98,,
MIOS,46,18,19,8,5,98,,
DPYSL2,44,28,19,8,3,98,,
TYMS,39,15,21,24,4,98,,
FAM110A,22,20,25,14,16,98,,
FRMD8,16,16,29,31,3,98,,
PYROXD1,16,8,30,12,32,98,,
ING3,18,5,33,4,34,98,,
HOXA13,17,26,42,5,9,98,,
URB1,15,10,55,9,4,98,,
BRD7,29,21,7,11,26,97,,
PNKP,31,28,15,16,4,97,,
OSBP,16,1,16,49,8,97,,
DARS,9,22,17,5,40,97,,
DDN,17,7,19,2,46,97,,
MRPL43,27,16,20,8,21,97,,
RPS11,28,16,23,12,11,97,,
RNF20,26,19,26,14,9,97,,
ELOF1,29,12,29,6,21,97,,
ATP2C1,24,15,34,14,7,97,,
PCP4L1,13,29,35,2,15,97,,
UBOX5,32,15,41,4,3,97,,
NVL,12,18,44,10,14,97,,
ZNF610,23,18,45,5,11,97,,
NPC1,13,10,47,10,18,97,,
JMJD7-PLA2G4B,20,11,48,7,5,97,,
COMMD4,9,2,53,8,28,97,,
HNMT,12,19,57,7,2,97,,
ERI1,32,21,6,29,7,96,,
MED16,51,27,6,9,1,96,,
MRPS22,20,8,11,21,33,96,,
MARS,39,6,11,16,18,96,,
ENY2,13,7,14,2,49,96,,
DENR,29,8,14,10,34,96,,
TOMM40,38,8,15,8,26,96,,
GPATCH8,22,19,31,1,21,96,,
ADPRHL1,29,28,32,3,3,96,,
SMC3,21,13,41,12,3,96,,
HIVEP1,22,20,45,6,8,96,,
ATP1A1,10,7,65,3,7,96,,
UGP2,5,3,81,4,3,96,,
TRMT5,24,5,1,13,44,95,,
ATP5E,22,5,2,9,57,95,,
BTAF1,17,5,12,7,52,95,,
NMT1,37,9,14,3,23,95,,
NDUFB8,15,5,15,7,51,95,,
ARL2,26,15,16,17,13,95,,
NEIL2,28,30,20,3,17,95,,
PRR25,33,26,20,3,11,95,,
PSMG3,34,10,22,16,13,95,,
SHQ1,15,21,32,16,4,95,,
ZNF75D,16,32,35,2,9,95,,
PLAC8L1,25,30,37,3,2,95,,
RFXAP,20,29,40,2,3,95,,
GNPTAB,12,3,62,6,15,95,,
ST3GAL4,4,8,79,2,0,95,,
NDUFS8,19,9,3,9,46,94,,
HSPD1,38,10,14,6,21,94,,
PREB,20,11,14,34,11,94,,
POLD1,32,17,18,20,9,94,,
JMJD1C,29,23,20,8,14,94,,
TICAM1,18,11,22,1,35,94,,
PGLS,34,17,24,13,2,94,,
PHB,35,10,25,10,9,94,,
CCDC22,14,9,28,27,13,94,,
COG1,24,29,28,7,7,94,,
C10orf55,28,23,30,5,5,94,,
OR4F16,11,10,34,7,32,94,,
MGRN1,35,9,37,2,11,94,,
ANKRD23,18,11,37,18,3,94,,
RPL36A-HNRNPH2,8,21,44,12,8,94,,
CHTF18,13,15,46,10,7,94,,
CMAS,7,2,60,18,10,94,,
ALDH18A1,33,5,5,6,39,93,,
TOMM20,65,8,6,8,4,93,,
PDHB,14,2,7,5,61,93,,
GPN3,14,11,10,19,32,93,,
ALG14,29,7,12,30,13,93,,
TAF8,11,4,13,20,38,93,,
CMPK1,16,7,13,41,13,93,,
NIFK,38,16,13,16,2,93,,
SNX17,18,7,16,34,10,93,,
SHROOM2,31,20,21,9,5,93,,
DLAT,20,5,23,4,38,93,,
UTP20,29,18,25,6,12,93,,
ILF3,14,15,26,11,24,93,,
FAM8A1,20,29,26,2,15,93,,
INPPL1,18,29,28,8,10,93,,
NDUFS5,12,2,3,13,58,92,,
MCAT,25,6,4,3,47,92,,
KAT8,32,20,4,9,21,92,,
MRPL42,24,4,5,11,44,92,,
MEN1,23,5,8,3,51,92,,
MED11,28,6,10,29,11,92,,
GTF2F1,26,36,10,6,7,92,,
CHMP5,30,20,11,18,10,92,,
PFDN6,20,15,26,11,13,92,,
EIF2S1,24,6,27,4,25,92,,
GOLGA6L10,29,19,35,6,4,92,,
FANCD2OS,25,28,36,3,2,92,,
NLE1,16,9,37,18,6,92,,
ZMIZ1,19,22,39,8,4,92,,
PCGF1,12,9,46,3,23,92,,
TVP23C,15,15,48,6,3,92,,
METTL17,13,8,7,10,49,91,,
MED20,21,13,7,11,29,91,,
PPP4R2,26,34,14,9,6,91,,
GTF2H3,18,10,17,36,9,91,,
SLC7A1,23,26,19,13,5,91,,
CREB3L4,35,26,20,5,2,91,,
RPTOR,19,5,21,16,28,91,,
VPS28,24,12,24,15,12,91,,
DBI,17,11,26,15,11,91,,
YKT6,12,25,27,1,18,91,,
CNEP1R1,23,8,27,16,14,91,,
SMCO3,24,30,31,3,1,91,,
RSPO3,25,26,37,2,3,91,,
BANK1,8,29,37,11,2,91,,
FNTB,13,7,38,16,15,91,,
ZC3H18,15,17,39,6,8,91,,
FOXD4L5,20,12,44,5,4,91,,
RSL24D1,11,9,49,7,8,91,,
VPS18,10,9,50,10,4,91,,
DPY30,25,12,4,10,37,90,,
FCF1,35,7,4,15,23,90,,
VARS2,15,8,5,12,44,90,,
GFM1,10,6,5,25,34,90,,
MRPS35,8,3,10,10,52,90,,
MED18,30,9,10,27,8,90,,
UBAP2L,29,12,11,25,13,90,,
ILF2,32,13,12,7,19,90,,
GINS3,25,33,13,13,5,90,,
SRRT,13,10,15,25,23,90,,
ATG9A,18,22,16,6,27,90,,
PCID2,19,13,18,22,15,90,,
FOS,25,10,19,19,11,90,,
HEATR1,12,15,22,18,21,90,,
MRPL15,11,7,23,7,43,90,,
MLNR,27,32,26,5,0,90,,
TTI1,23,16,28,10,6,90,,
VPS26A,18,13,38,8,13,90,,
RFC2,19,7,38,16,6,90,,
LOC101928764,6,27,42,12,0,90,,
COG8,9,6,63,8,2,90,,
COA6,15,11,0,2,58,89,,
POLR2J,12,3,4,1,55,89,,
PET117,16,8,7,7,44,89,,
SOCS3,22,6,10,12,35,89,,
ATAD5,20,11,10,21,19,89,,
MVD,24,17,10,19,15,89,,
KIAA1429,14,1,12,10,47,89,,
MPHOSPH10,18,8,13,19,25,89,,
COX5B,16,13,14,2,43,89,,
THOC6,38,9,16,11,15,89,,
UMPS,19,2,17,22,32,89,,
RPS10,20,4,18,18,27,89,,
RAD51C,17,21,18,21,5,89,,
NOP9,24,22,21,9,10,89,,
LOC107987067,18,39,21,3,4,89,,
ATP6V1H,22,14,22,10,18,89,,
GABPB1,31,7,24,3,23,89,,
RER1,16,7,26,7,28,89,,
DUOX1,11,13,47,2,16,89,,
GRAPL,21,5,52,9,0,89,,
MRPS16,16,5,7,10,44,88,,
DPM2,7,63,10,4,5,88,,
CCNH,31,24,11,10,5,88,,
C19orf43,20,8,12,12,32,88,,
ACTL6A,19,14,12,29,2,88,,
FCHSD2,22,7,14,5,34,88,,
SSRP1,25,13,15,24,2,88,,
NSF,21,23,16,14,12,88,,
DDX56,26,12,17,22,8,88,,
INTS11,29,12,19,6,15,88,,
C3orf58,35,27,19,5,0,88,,
NAA10,17,14,20,23,7,88,,
TMSB10,13,28,24,6,16,88,,
MTHFD1,20,12,27,12,11,88,,
LCMT1,18,8,38,7,18,88,,
CHCHD4,36,14,3,5,30,87,,
TFAM,9,2,4,7,61,87,,
ITGA4,9,10,6,29,23,87,,
RPL8,22,6,8,28,15,87,,
POLE,35,13,8,23,5,87,,
PTGES3,18,13,9,11,29,87,,
MRPS27,17,5,10,8,43,87,,
STX5,23,12,11,6,32,87,,
TARS2,13,15,13,7,32,87,,
SUGT1,16,13,13,22,15,87,,
UXT,18,12,21,11,25,87,,
FN3KRP,22,15,21,9,14,87,,
MTF2,17,11,21,15,13,87,,
MGARP,20,35,21,11,0,87,,
DDX1,30,9,29,5,11,87,,
CXXC1,18,15,30,15,8,87,,
MRPS30,15,7,36,2,26,87,,
NOL9,11,7,53,7,6,87,,
RABGAP1,9,4,55,5,15,87,,
ALOX12B,9,9,56,6,8,87,,
DAP3,19,7,4,5,49,86,,
NDUFA8,20,3,5,10,43,86,,
CAPRIN1,35,1,5,2,39,86,,
ELP5,14,13,8,13,36,86,,
NDUFA5,26,6,9,7,33,86,,
ELP3,26,4,10,16,27,86,,
TXN,22,14,17,17,19,86,,
DDI2,16,12,18,29,14,86,,
HSPE1,19,19,19,21,4,86,,
SS18L2,23,6,20,15,21,86,,
SUGCT,13,20,21,11,12,86,,
NOP14,41,4,23,8,7,86,,
CAPN1,18,14,25,7,17,86,,
SGCE,23,25,27,3,2,86,,
IKBKAP,14,3,28,6,34,86,,
RRAGA,13,30,30,3,7,86,,
SSH1,10,25,31,2,17,86,,
NATD1,13,12,34,14,11,86,,
MGAT4A,20,22,35,6,1,86,,
SLC16A2,13,29,43,1,1,86,,
CD68,19,13,43,7,1,86,,
YME1L1,24,5,6,6,35,85,,
SAE1,19,6,7,11,37,85,,
TFAP2A,26,8,8,2,37,85,,
UBE2N,27,10,9,11,27,85,,
POLA2,16,5,15,1,35,85,,
GRN,40,17,15,2,6,85,,
DPH3,12,3,16,11,43,85,,
HIRA,14,6,16,12,33,85,,
SLBP,22,7,16,19,20,85,,
ZNF830,26,12,19,12,12,85,,
RAD9A,26,16,20,2,22,85,,
DNAJC17,24,17,21,16,6,85,,
RINL,22,30,23,6,7,85,,
ZNF226,10,24,31,3,11,85,,
PRKAB2,16,17,34,7,10,85,,
SERINC3,10,29,37,3,2,85,,
ATP5B,23,7,0,2,45,84,,
QRSL1,16,7,2,2,56,84,,
NDUFA6,19,3,2,10,49,84,,
DDX21,23,6,3,17,30,84,,
SRP19,23,12,4,10,28,84,,
SARS2,10,6,5,1,54,84,,
NDUFB4,15,6,5,6,49,84,,
SLC30A9,11,3,6,10,49,84,,
ZDHHC18,14,7,6,39,7,84,,
MRGPRF,22,6,7,2,43,84,,
AFG3L2,16,4,9,6,44,84,,
ATP5D,17,9,10,24,18,84,,
SIN3A,19,9,10,25,12,84,,
FAM186B,23,12,15,10,12,84,,
EIF3A,13,19,17,20,11,84,,
AHR,2,1,23,3,47,84,,
DSCC1,21,12,23,18,3,84,,
SEL1L,29,9,24,12,8,84,,
PSMD6,27,13,25,5,8,84,,
PGBD2,16,22,27,4,16,84,,
FAM109A,20,31,29,3,3,84,,
RAI1,11,9,33,20,8,84,,
PES1,25,5,33,7,7,84,,
PIKFYVE,19,6,37,9,8,84,,
SPAG9,15,6,41,10,8,84,,
TRIM45,14,11,42,11,5,84,,
