Gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum
BUB3,37.0,15.0,59.0,49.0,19.0,183.0
C10orf55,13.0,10.0,18.0,14.0,49.0,109.0
C12orf56,51.0,17.0,20.0,42.0,38.0,177.0
C15orf38-AP3S2,13.0,10.0,14.0,41.0,56.0,147.0
C17orf100,13.0,16.0,34.0,19.0,49.0,132.0
C17orf49,37.0,19.0,38.0,92.0,18.0,207.0
C1D,24.0,24.0,43.0,44.0,51.0,177.0
C1orf27,54.0,38.0,26.0,57.0,17.0,192.0
C20orf96,23.0,13.0,21.0,83.0,20.0,166.0
C2orf83,12.0,11.0,15.0,21.0,54.0,111.0
C5AR1,17.0,13.0,17.0,92.0,51.0,189.0
C9orf84,30.0,20.0,34.0,96.0,13.0,205.0
CA13,59.0,55.0,25.0,30.0,15.0,177.0
CAB39,12.0,11.0,20.0,22.0,61.0,118.0
CALCRL,50.0,24.0,30.0,39.0,14.0,163.0
CAPN12,58.0,41.0,31.0,41.0,29.0,196.0
CARNS1,18.0,11.0,56.0,23.0,52.0,156.0
CATSPER1,42.0,20.0,34.0,91.0,16.0,207.0
CCAR1,14.0,8.0,12.0,29.0,105.0,169.0
CCDC140,34.0,15.0,72.0,28.0,24.0,171.0
CCDC144NL,26.0,11.0,51.0,39.0,60.0,192.0
CCDC148,24.0,20.0,34.0,88.0,18.0,194.0
CCDC180,39.0,44.0,24.0,15.0,15.0,138.0
CCDC22,23.0,14.0,80.0,33.0,39.0,187.0
CCDC88C,45.0,40.0,21.0,28.0,18.0,157.0
CCND1,53.0,21.0,37.0,66.0,25.0,208.0
CCNE1,29.0,22.0,27.0,99.0,15.0,203.0
CCNI2,33.0,22.0,36.0,62.0,63.0,211.0
CCT6A,28.0,9.0,29.0,15.0,64.0,145.0
CCT7,65.0,25.0,27.0,65.0,25.0,205.0
CD101,38.0,38.0,23.0,57.0,17.0,176.0
CD247,19.0,21.0,68.0,44.0,31.0,192.0
CDHR5,18.0,12.0,13.0,11.0,71.0,131.0
CDKN1A,26.0,20.0,27.0,79.0,8.0,165.0
CDYL2,16.0,10.0,37.0,22.0,51.0,137.0
CENPBD1,27.0,13.0,86.0,35.0,19.0,186.0
CEP295,18.0,12.0,59.0,24.0,16.0,132.0
CES4A,56.0,24.0,19.0,11.0,14.0,132.0
CFAP36,56.0,64.0,31.0,30.0,15.0,211.0
CHCHD3,54.0,21.0,18.0,35.0,15.0,150.0
CHMP1B,23.0,29.0,65.0,13.0,41.0,173.0
CHRNE,20.0,26.0,36.0,80.0,13.0,179.0
CITED2,17.0,38.0,28.0,24.0,17.0,139.0
COL4A3,32.0,52.0,24.0,12.0,10.0,134.0
COLQ,17.0,14.0,15.0,81.0,14.0,153.0
COMMD3,14.0,8.0,70.0,21.0,19.0,128.0
COPB2,23.0,28.0,25.0,52.0,63.0,202.0
COPRS,40.0,15.0,23.0,89.0,23.0,200.0
COQ7,56.0,35.0,40.0,38.0,31.0,204.0
CORO1C,26.0,23.0,21.0,30.0,90.0,182.0
CPOX,70.0,49.0,28.0,21.0,14.0,187.0
CRABP2,23.0,12.0,77.0,38.0,18.0,168.0
CREBL2,35.0,39.0,12.0,20.0,15.0,117.0
CRYGS,43.0,50.0,19.0,14.0,19.0,148.0
CTSA,15.0,11.0,71.0,30.0,19.0,143.0
CUL3,20.0,11.0,67.0,22.0,47.0,163.0
CXorf23,49.0,70.0,14.0,18.0,12.0,155.0
CYB5R1,53.0,19.0,30.0,22.0,23.0,161.0
CYP2A6,21.0,10.0,27.0,60.0,68.0,197.0
D2HGDH,31.0,19.0,25.0,85.0,44.0,211.0
DAZAP2,29.0,25.0,65.0,62.0,30.0,213.0
DCTN6,28.0,25.0,59.0,41.0,21.0,170.0
DDHD2,52.0,14.0,22.0,24.0,19.0,145.0
DDIT4,19.0,16.0,19.0,28.0,58.0,147.0
DDOST,36.0,26.0,67.0,36.0,25.0,198.0
DDX19B,29.0,17.0,23.0,93.0,17.0,186.0
DDX21,22.0,17.0,61.0,35.0,48.0,200.0
DDX23,49.0,41.0,27.0,67.0,32.0,216.0
DDX39A,20.0,10.0,22.0,41.0,52.0,143.0
DDX3X,20.0,13.0,104.0,35.0,36.0,203.0
DDX41,27.0,43.0,22.0,15.0,21.0,136.0
DDX49,18.0,9.0,23.0,23.0,50.0,131.0
DEFB106B,56.0,30.0,14.0,31.0,19.0,151.0
DGAT1,47.0,23.0,29.0,81.0,12.0,195.0
DHDDS,24.0,92.0,78.0,14.0,18.0,213.0
DHX33,19.0,12.0,19.0,16.0,60.0,130.0
DHX9,31.0,14.0,63.0,80.0,28.0,213.0
DIEXF,25.0,17.0,75.0,35.0,28.0,175.0
DIO1,28.0,19.0,58.0,24.0,18.0,155.0
DIO2,51.0,24.0,22.0,22.0,18.0,137.0
DIP2B,33.0,44.0,27.0,31.0,19.0,161.0
DIS3,16.0,14.0,38.0,84.0,20.0,176.0
DMAP1,17.0,14.0,29.0,37.0,69.0,167.0
DNAH17,23.0,17.0,30.0,104.0,32.0,202.0
DNAH3,52.0,22.0,45.0,57.0,21.0,194.0
DNAJC22,37.0,18.0,23.0,82.0,28.0,197.0
DNAJC9,18.0,12.0,48.0,23.0,69.0,178.0
DNASE2,26.0,17.0,26.0,43.0,50.0,174.0
DNM2,41.0,52.0,25.0,25.0,17.0,156.0
DNTTIP2,50.0,21.0,54.0,43.0,31.0,215.0
DOHH,17.0,14.0,32.0,14.0,51.0,126.0
DPM1,25.0,84.0,19.0,24.0,18.0,162.0
DRICH1,23.0,9.0,63.0,20.0,48.0,172.0
DTL,37.0,22.0,65.0,50.0,36.0,210.0
DUSP28,33.0,23.0,58.0,24.0,15.0,158.0
DUXA,51.0,23.0,15.0,43.0,17.0,155.0
DYNLRB1,23.0,41.0,55.0,24.0,15.0,162.0
EBLN1,43.0,40.0,25.0,53.0,12.0,174.0
ECT2,31.0,14.0,22.0,93.0,35.0,204.0
EDA2R,40.0,56.0,25.0,16.0,26.0,167.0
EDEM3,18.0,13.0,15.0,28.0,52.0,131.0
EDIL3,42.0,16.0,60.0,23.0,43.0,187.0
EEF1B2,42.0,33.0,30.0,85.0,18.0,212.0
EFCC1,26.0,14.0,58.0,32.0,24.0,155.0
EFHD1,22.0,16.0,83.0,26.0,23.0,180.0
EFNA4,50.0,23.0,26.0,33.0,15.0,147.0
EIF3F,35.0,56.0,35.0,17.0,28.0,164.0
EIF3I,29.0,34.0,21.0,33.0,67.0,185.0
EIF3J,16.0,12.0,44.0,48.0,51.0,174.0
EIF4B,30.0,17.0,49.0,91.0,18.0,209.0
EIF4H,17.0,11.0,18.0,36.0,49.0,134.0
EIF5,33.0,15.0,89.0,40.0,31.0,205.0
ELMO2,29.0,15.0,59.0,80.0,32.0,204.0
ELOF1,20.0,9.0,10.0,23.0,56.0,127.0
ENTPD6,14.0,12.0,29.0,16.0,66.0,137.0
EPC1,19.0,10.0,30.0,17.0,57.0,140.0
EPC2,42.0,20.0,25.0,35.0,49.0,173.0
EPSTI1,28.0,18.0,19.0,21.0,49.0,140.0
ERBB3,21.0,14.0,20.0,23.0,82.0,167.0
ERF,32.0,16.0,96.0,27.0,35.0,200.0
ERI2,23.0,40.0,15.0,39.0,13.0,132.0
ERICH1,16.0,12.0,21.0,22.0,50.0,118.0
ESR2,18.0,15.0,19.0,79.0,22.0,159.0
ESRP2,17.0,15.0,70.0,35.0,22.0,164.0
ETS2,52.0,34.0,37.0,13.0,17.0,154.0
EVA1B,38.0,20.0,83.0,28.0,23.0,193.0
EXOSC8,62.0,22.0,40.0,66.0,27.0,215.0
FAM151B,52.0,26.0,37.0,42.0,31.0,201.0
FAM157B,22.0,14.0,31.0,60.0,55.0,191.0
FAM186B,52.0,30.0,36.0,69.0,18.0,200.0
FAM196B,11.0,14.0,16.0,14.0,65.0,132.0
FAM222A,29.0,29.0,19.0,82.0,12.0,177.0
FAM231D,27.0,23.0,68.0,68.0,23.0,212.0
FAM72C,55.0,43.0,27.0,60.0,20.0,209.0
FAM89A,24.0,11.0,26.0,85.0,42.0,194.0
FAM89B,23.0,15.0,19.0,31.0,54.0,144.0
FANCG,66.0,41.0,22.0,18.0,18.0,171.0
FAS,41.0,47.0,21.0,24.0,23.0,155.0
FASN,24.0,17.0,34.0,81.0,26.0,180.0
FAT1,79.0,20.0,19.0,62.0,23.0,216.0
FAU,33.0,26.0,24.0,29.0,61.0,190.0
FBLN7,18.0,12.0,30.0,21.0,50.0,140.0
FBXL4,66.0,69.0,12.0,19.0,24.0,191.0
FBXL8,51.0,42.0,18.0,19.0,17.0,152.0
FCHSD1,20.0,9.0,41.0,36.0,51.0,154.0
FEZ1,54.0,15.0,19.0,27.0,20.0,137.0
FKBP1A,50.0,21.0,24.0,46.0,35.0,175.0
FLCN,42.0,39.0,19.0,20.0,26.0,151.0
FLG,13.0,11.0,87.0,16.0,9.0,145.0
FMOD,55.0,15.0,24.0,36.0,21.0,153.0
FOPNL,15.0,12.0,40.0,97.0,16.0,193.0
FRG2,18.0,11.0,24.0,41.0,55.0,163.0
FRS3,47.0,42.0,23.0,26.0,29.0,164.0
FZD9,67.0,30.0,14.0,35.0,21.0,175.0
GABARAP,50.0,38.0,15.0,16.0,17.0,134.0
GADD45G,15.0,15.0,74.0,45.0,25.0,185.0
GAGE2D,18.0,17.0,31.0,50.0,62.0,183.0
GARS,59.0,33.0,26.0,40.0,22.0,181.0
GATD3B,19.0,8.0,18.0,14.0,53.0,115.0
GEMIN5,32.0,15.0,22.0,93.0,14.0,178.0
GJD3,46.0,40.0,21.0,25.0,31.0,163.0
GLTP,53.0,33.0,39.0,48.0,23.0,202.0
GMCL2,16.0,26.0,75.0,29.0,48.0,192.0
GMPPB,40.0,57.0,53.0,16.0,19.0,185.0
GOLGA6L10,32.0,17.0,69.0,70.0,24.0,208.0
GOSR2,20.0,14.0,17.0,35.0,53.0,134.0
GOT2,27.0,12.0,30.0,41.0,54.0,177.0
GPATCH1,18.0,17.0,88.0,23.0,14.0,167.0
GPC2,18.0,18.0,58.0,19.0,19.0,141.0
GPN2,29.0,22.0,29.0,49.0,56.0,188.0
GPR146,13.0,13.0,41.0,24.0,52.0,145.0
GPR155,50.0,37.0,28.0,38.0,18.0,171.0
GPR75-ASB3,56.0,48.0,23.0,40.0,16.0,180.0
GPRC5C,26.0,16.0,39.0,97.0,21.0,200.0
GPS1,32.0,14.0,35.0,83.0,24.0,198.0
GPT,32.0,22.0,60.0,35.0,40.0,199.0
GRAPL,73.0,46.0,25.0,55.0,17.0,212.0
GRHL2,26.0,12.0,23.0,102.0,13.0,180.0
GTF2H1,25.0,19.0,39.0,87.0,25.0,207.0
GTF2H3,53.0,33.0,37.0,58.0,27.0,202.0
GTF2H4,19.0,14.0,24.0,21.0,64.0,140.0
H1FOO,25.0,12.0,62.0,23.0,33.0,155.0
HDAC11,23.0,19.0,25.0,91.0,47.0,214.0
HDGF,19.0,10.0,13.0,17.0,49.0,118.0
HERC1,32.0,12.0,71.0,27.0,58.0,204.0
HEXB,26.0,16.0,112.0,33.0,28.0,206.0
HIST1H1A,33.0,56.0,17.0,18.0,20.0,152.0
HIST1H2AG,35.0,23.0,79.0,22.0,32.0,188.0
HIST2H2AA4,35.0,13.0,58.0,45.0,26.0,180.0
HIST2H2BF,22.0,17.0,31.0,30.0,61.0,158.0
HIST2H3A,19.0,21.0,35.0,30.0,59.0,168.0
HIST2H3C,36.0,70.0,23.0,26.0,16.0,168.0
HMGN1,29.0,19.0,25.0,80.0,34.0,195.0
HMGN5,28.0,40.0,33.0,53.0,50.0,207.0
HNRNPD,30.0,15.0,58.0,29.0,24.0,169.0
HNRNPH2,71.0,53.0,50.0,11.0,18.0,199.0
HNRNPU,30.0,16.0,28.0,38.0,57.0,175.0
HOXB2,57.0,31.0,27.0,59.0,18.0,206.0
HOXC11,21.0,18.0,31.0,85.0,17.0,181.0
HRH4,47.0,58.0,33.0,21.0,15.0,173.0
HSD17B13,56.0,31.0,31.0,34.0,17.0,163.0
HSD17B7,32.0,14.0,67.0,43.0,59.0,213.0
HSPA5,24.0,18.0,43.0,45.0,76.0,204.0
IFT74,53.0,16.0,14.0,28.0,41.0,156.0
IL9R,32.0,45.0,31.0,60.0,29.0,207.0
ING3,24.0,23.0,35.0,38.0,62.0,184.0
INHBE,15.0,15.0,33.0,108.0,41.0,215.0
INTS11,38.0,42.0,31.0,26.0,14.0,155.0
INTS14,29.0,19.0,32.0,37.0,58.0,183.0
INTS6,24.0,11.0,74.0,35.0,35.0,175.0
ISCA2,50.0,25.0,36.0,34.0,17.0,171.0
ISM2,18.0,12.0,17.0,58.0,51.0,161.0
JAG1,10.0,14.0,19.0,20.0,63.0,131.0
KARS,57.0,16.0,26.0,14.0,34.0,157.0
KAT5,37.0,20.0,27.0,30.0,94.0,208.0
KAT7,19.0,9.0,16.0,12.0,61.0,130.0
KCNC1,25.0,24.0,58.0,72.0,16.0,197.0
KIAA1257,21.0,14.0,38.0,28.0,49.0,154.0
KIAA1958,57.0,52.0,22.0,24.0,21.0,179.0
KIT,31.0,42.0,14.0,16.0,17.0,124.0
KLF16,32.0,16.0,30.0,80.0,33.0,183.0
KLF3,35.0,19.0,74.0,38.0,16.0,178.0
KLHL21,23.0,12.0,27.0,16.0,108.0,184.0
KLHL41,23.0,14.0,41.0,43.0,49.0,183.0
KPNA4,48.0,19.0,58.0,51.0,21.0,200.0
KPNB1,24.0,15.0,25.0,32.0,62.0,160.0
LAMA4,26.0,38.0,23.0,16.0,20.0,131.0
LDLRAD3,35.0,23.0,28.0,97.0,21.0,215.0
LETMD1,41.0,27.0,63.0,53.0,24.0,211.0
LHFPL4,18.0,42.0,16.0,28.0,18.0,114.0
LHX4,39.0,26.0,66.0,53.0,16.0,208.0
LIMS1,25.0,17.0,60.0,59.0,25.0,177.0
LMLN2,16.0,13.0,36.0,21.0,67.0,151.0
LNP1,11.0,10.0,15.0,14.0,57.0,110.0
LOC100128108,28.0,10.0,14.0,25.0,56.0,139.0
LOC100132202,20.0,23.0,47.0,83.0,25.0,200.0
LOC100996365,13.0,11.0,39.0,51.0,50.0,163.0
LOC100996379,22.0,11.0,78.0,43.0,32.0,182.0
LOC100996720,25.0,11.0,30.0,23.0,62.0,156.0
LOC101927789,50.0,21.0,19.0,23.0,15.0,127.0
LOC101928095,20.0,11.0,26.0,58.0,61.0,183.0
LOC101929599,46.0,40.0,18.0,33.0,15.0,154.0
LOC102723623,28.0,14.0,73.0,41.0,33.0,189.0
LOC105371191,21.0,9.0,60.0,44.0,26.0,158.0
LOC105373750,53.0,28.0,60.0,32.0,12.0,189.0
LOC105376525,41.0,16.0,69.0,50.0,28.0,202.0
LOC105376714,56.0,61.0,35.0,27.0,26.0,210.0
LOC105379554,27.0,16.0,59.0,40.0,20.0,159.0
LOC107984139,56.0,48.0,33.0,43.0,18.0,203.0
LOC107984314,23.0,15.0,39.0,32.0,49.0,160.0
LOC107984341,31.0,18.0,77.0,28.0,46.0,212.0
LOC107986113,32.0,23.0,67.0,53.0,16.0,191.0
LOC107987377,28.0,21.0,61.0,48.0,23.0,175.0
LOC107987388,36.0,23.0,41.0,85.0,22.0,202.0
LOC107987389,45.0,20.0,38.0,79.0,20.0,210.0
LOC112267959,30.0,40.0,16.0,56.0,26.0,171.0
LOC112268137,33.0,18.0,82.0,51.0,25.0,196.0
LOC112268145,32.0,24.0,31.0,34.0,55.0,183.0
LOC112268271,36.0,76.0,19.0,18.0,18.0,164.0
LOC112268284,24.0,17.0,58.0,75.0,28.0,204.0
LOC730098,50.0,35.0,36.0,29.0,17.0,175.0
LOC730268,62.0,24.0,43.0,44.0,27.0,211.0
LRIG3,29.0,18.0,36.0,91.0,10.0,184.0
LRRC4,30.0,39.0,28.0,29.0,14.0,138.0
LSM4,29.0,14.0,25.0,54.0,60.0,198.0
LUC7L3,45.0,15.0,67.0,66.0,19.0,214.0
LYNX1,20.0,16.0,49.0,25.0,63.0,174.0
LYNX1-SLURP2,24.0,15.0,25.0,82.0,34.0,196.0
LYRM4,55.0,29.0,40.0,62.0,29.0,211.0
MACROD1,29.0,13.0,85.0,28.0,19.0,177.0
MAGEL2,27.0,21.0,76.0,36.0,31.0,193.0
MAL,30.0,15.0,23.0,33.0,49.0,166.0
MAP3K10,27.0,17.0,66.0,47.0,34.0,202.0
MAPK8IP3,51.0,26.0,27.0,27.0,24.0,154.0
MASP2,22.0,11.0,58.0,19.0,25.0,151.0
MAST4,42.0,26.0,43.0,47.0,52.0,209.0
MATN4,18.0,12.0,20.0,91.0,38.0,181.0
MAX,67.0,32.0,32.0,31.0,25.0,182.0
MCM5,67.0,25.0,38.0,58.0,13.0,201.0
MED10,39.0,24.0,63.0,51.0,23.0,192.0
MED12,28.0,13.0,70.0,36.0,18.0,161.0
MED13L,58.0,17.0,16.0,18.0,22.0,139.0
MED22,30.0,11.0,42.0,43.0,63.0,193.0
MED9,37.0,57.0,18.0,19.0,16.0,143.0
MESDC1,21.0,15.0,104.0,17.0,30.0,180.0
METTL7A,27.0,18.0,96.0,25.0,43.0,210.0
MGAM,59.0,33.0,33.0,29.0,15.0,170.0
MGAT1,20.0,17.0,62.0,16.0,17.0,137.0
MIPEP,40.0,54.0,20.0,10.0,24.0,153.0
MME,30.0,43.0,42.0,35.0,17.0,169.0
MOB4,45.0,54.0,36.0,22.0,18.0,177.0
MOSPD3,19.0,7.0,48.0,22.0,96.0,187.0
MPG,26.0,15.0,45.0,50.0,70.0,207.0
MROH6,59.0,28.0,32.0,60.0,13.0,197.0
MRPL13,47.0,42.0,19.0,49.0,14.0,172.0
MRPL21,21.0,15.0,62.0,33.0,18.0,154.0
MRPL34,60.0,26.0,22.0,49.0,26.0,187.0
MRPL42,61.0,64.0,24.0,22.0,24.0,189.0
MRPS17,42.0,52.0,40.0,33.0,31.0,200.0
MRPS34,22.0,12.0,50.0,29.0,62.0,175.0
MRPS35,40.0,22.0,25.0,40.0,50.0,184.0
MSL3,29.0,13.0,20.0,27.0,55.0,156.0
MTCH2,50.0,52.0,30.0,32.0,24.0,197.0
MTM1,14.0,11.0,11.0,18.0,74.0,132.0
MTMR14,53.0,33.0,27.0,32.0,15.0,168.0
MYH9,55.0,22.0,27.0,51.0,38.0,188.0
MYL2,54.0,31.0,29.0,24.0,11.0,152.0
MYLK,36.0,46.0,17.0,31.0,21.0,149.0
MYO1E,16.0,11.0,20.0,14.0,58.0,121.0
MYO9A,26.0,22.0,36.0,34.0,63.0,185.0
MYO9B,19.0,13.0,32.0,18.0,52.0,133.0
March7,25.0,19.0,14.0,84.0,11.0,162.0
NAA10,27.0,16.0,13.0,99.0,31.0,203.0
NAA20,20.0,11.0,28.0,50.0,53.0,160.0
NAPG,39.0,43.0,24.0,21.0,23.0,157.0
NARS,53.0,23.0,30.0,33.0,13.0,158.0
NAT1,22.0,40.0,31.0,24.0,21.0,145.0
NBPF7,25.0,10.0,14.0,42.0,49.0,146.0
NCOA1,59.0,49.0,22.0,44.0,19.0,193.0
NDC80,43.0,15.0,39.0,82.0,24.0,212.0
NDN,27.0,15.0,38.0,88.0,28.0,197.0
NDOR1,16.0,12.0,17.0,15.0,58.0,127.0
NDUFA11,55.0,22.0,19.0,30.0,31.0,158.0
NDUFA13,46.0,40.0,19.0,67.0,28.0,195.0
NDUFA2,24.0,19.0,38.0,34.0,66.0,173.0
NDUFA3,18.0,13.0,24.0,24.0,59.0,147.0
NDUFA9,51.0,24.0,26.0,78.0,16.0,192.0
NDUFB10,50.0,28.0,18.0,38.0,21.0,155.0
NDUFB9,37.0,26.0,49.0,79.0,20.0,210.0
NDUFS1,44.0,54.0,28.0,29.0,46.0,189.0
NEDD8,40.0,15.0,43.0,62.0,49.0,214.0
NEURL4,39.0,38.0,54.0,49.0,20.0,201.0
NFASC,50.0,27.0,52.0,56.0,16.0,205.0
NFKBIB,18.0,12.0,30.0,26.0,60.0,152.0
NFYA,51.0,56.0,29.0,41.0,19.0,200.0
NGLY1,50.0,22.0,26.0,72.0,30.0,204.0
NIN,19.0,41.0,15.0,11.0,27.0,112.0
NLRP11,18.0,14.0,27.0,27.0,71.0,155.0
NME1-NME2,27.0,20.0,34.0,88.0,20.0,199.0
NOP56,30.0,27.0,73.0,36.0,44.0,208.0
NOS3,32.0,41.0,34.0,33.0,29.0,170.0
NOXO1,55.0,46.0,19.0,22.0,20.0,160.0
NPIPA3,34.0,23.0,28.0,81.0,35.0,216.0
NPIPB12,40.0,18.0,47.0,83.0,26.0,216.0
NR2C1,45.0,43.0,29.0,41.0,20.0,180.0
NR4A3,15.0,12.0,63.0,15.0,12.0,121.0
NRBP1,52.0,19.0,26.0,42.0,16.0,157.0
NTN1,14.0,17.0,30.0,56.0,51.0,176.0
NTRK3,32.0,39.0,16.0,15.0,18.0,123.0
NUP107,33.0,14.0,20.0,94.0,19.0,189.0
NUTM2G,57.0,30.0,29.0,32.0,19.0,176.0
NXF1,30.0,16.0,21.0,38.0,52.0,159.0
OAZ2,33.0,17.0,43.0,88.0,24.0,211.0
OAZ3,19.0,11.0,70.0,26.0,19.0,145.0
OGDH,45.0,43.0,21.0,23.0,17.0,151.0
OGT,61.0,25.0,36.0,33.0,30.0,182.0
OPTN,53.0,37.0,35.0,28.0,29.0,185.0
OR4K3,22.0,18.0,58.0,30.0,23.0,151.0
OSBPL9,14.0,10.0,111.0,15.0,23.0,176.0
OSCAR,52.0,39.0,25.0,59.0,24.0,196.0
P2RX1,35.0,42.0,37.0,34.0,29.0,176.0
PAF1,18.0,10.0,28.0,28.0,63.0,153.0
PAFAH1B1,39.0,49.0,52.0,27.0,17.0,196.0
PAFAH1B2,54.0,17.0,21.0,18.0,26.0,135.0
PAXBP1,31.0,12.0,36.0,60.0,54.0,199.0
PCED1B,30.0,22.0,26.0,88.0,24.0,193.0
PDCD10,39.0,16.0,46.0,23.0,83.0,209.0
PDE4DIP,40.0,21.0,74.0,34.0,21.0,186.0
PDGFD,23.0,62.0,18.0,37.0,12.0,150.0
PDPK1,57.0,26.0,31.0,27.0,23.0,174.0
PGBD4,32.0,44.0,14.0,17.0,14.0,122.0
PHB2,59.0,17.0,33.0,69.0,22.0,209.0
PHC1,54.0,30.0,28.0,74.0,19.0,211.0
PIAS2,50.0,26.0,14.0,23.0,16.0,132.0
PIGH,32.0,10.0,31.0,84.0,20.0,190.0
PIGQ,30.0,40.0,15.0,21.0,20.0,127.0
PIGS,63.0,40.0,26.0,55.0,26.0,215.0
PIH1D3,17.0,9.0,12.0,17.0,72.0,133.0
PIK3R4,15.0,15.0,75.0,33.0,15.0,155.0
PIP5K1A,25.0,10.0,33.0,21.0,60.0,152.0
PIP5KL1,24.0,16.0,58.0,42.0,24.0,168.0
PKDCC,23.0,15.0,75.0,36.0,18.0,175.0
PLA2G10,34.0,24.0,27.0,82.0,19.0,196.0
PLCH2,35.0,40.0,27.0,15.0,24.0,137.0
PLEK,22.0,10.0,70.0,64.0,45.0,205.0
PMPCB,48.0,41.0,38.0,49.0,42.0,203.0
PNKD,35.0,42.0,15.0,15.0,21.0,135.0
PNO1,39.0,18.0,80.0,51.0,22.0,203.0
PNP,22.0,11.0,25.0,22.0,60.0,138.0
POGZ,22.0,20.0,48.0,24.0,72.0,186.0
POLR2D,24.0,10.0,50.0,34.0,75.0,211.0
POLR2F,32.0,43.0,50.0,32.0,37.0,194.0
POLR2I,50.0,20.0,35.0,51.0,39.0,206.0
POTEH,35.0,18.0,60.0,53.0,45.0,209.0
POU2F2,24.0,17.0,44.0,46.0,54.0,190.0
PPARA,43.0,47.0,17.0,13.0,21.0,140.0
PPIH,30.0,20.0,62.0,44.0,21.0,177.0
PPM1F,14.0,14.0,27.0,80.0,22.0,167.0
PPM1G,17.0,20.0,70.0,28.0,20.0,152.0
PPP1CB,27.0,21.0,20.0,30.0,66.0,171.0
PPP4C,27.0,27.0,49.0,89.0,26.0,215.0
PPTC7,50.0,19.0,17.0,32.0,10.0,139.0
PRELID3B,31.0,23.0,61.0,25.0,22.0,161.0
PRH2,38.0,38.0,21.0,22.0,23.0,142.0
PROB1,41.0,23.0,18.0,26.0,58.0,178.0
PROCA1,26.0,18.0,30.0,22.0,54.0,169.0
PRPF3,26.0,26.0,23.0,99.0,13.0,206.0
