Gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum
C7orf61,17.0,16.0,35.0,56.0,91.0,222.0
CA5B,35.0,23.0,25.0,100.0,38.0,236.0
CACNB1,62.0,40.0,81.0,83.0,27.0,309.0
CACNB3,37.0,34.0,39.0,87.0,36.0,238.0
CAMKK2,52.0,27.0,22.0,93.0,22.0,219.0
CAMSAP3,70.0,56.0,39.0,58.0,25.0,247.0
CAPZB,39.0,20.0,74.0,46.0,106.0,289.0
CBWD5,53.0,27.0,73.0,61.0,37.0,249.0
CCDC155,27.0,16.0,26.0,109.0,36.0,223.0
CD63,31.0,24.0,32.0,121.0,18.0,243.0
CDC25B,61.0,33.0,44.0,74.0,29.0,246.0
CDC45,71.0,50.0,62.0,72.0,39.0,303.0
CDK17,44.0,23.0,44.0,106.0,31.0,261.0
CDK9,52.0,36.0,37.0,82.0,47.0,266.0
CEBPZ,54.0,30.0,46.0,109.0,40.0,282.0
CENPF,51.0,30.0,76.0,82.0,41.0,287.0
CENPK,42.0,25.0,81.0,54.0,24.0,227.0
CENPW,44.0,32.0,109.0,109.0,48.0,344.0
CFP,65.0,40.0,87.0,41.0,19.0,253.0
CHAF1B,55.0,28.0,37.0,60.0,26.0,223.0
CHERP,30.0,16.0,71.0,43.0,64.0,219.0
CHORDC1,40.0,28.0,42.0,88.0,23.0,238.0
CINP,28.0,27.0,39.0,108.0,14.0,227.0
CKAP5,93.0,82.0,35.0,65.0,19.0,298.0
CLP1,57.0,16.0,44.0,115.0,47.0,282.0
CLTC,44.0,22.0,29.0,154.0,25.0,276.0
CNOT2,57.0,19.0,130.0,70.0,64.0,326.0
CNOT3,74.0,30.0,56.0,71.0,75.0,308.0
COG4,36.0,14.0,101.0,58.0,36.0,239.0
COPS4,46.0,20.0,66.0,53.0,50.0,240.0
CSE1L,35.0,31.0,42.0,58.0,63.0,237.0
CST6,50.0,17.0,78.0,52.0,45.0,255.0
CYTH2,45.0,23.0,50.0,102.0,35.0,259.0
DAD1,48.0,57.0,112.0,30.0,61.0,304.0
DBR1,54.0,15.0,49.0,28.0,87.0,230.0
DCTN5,50.0,71.0,120.0,55.0,24.0,329.0
DDX10,63.0,27.0,74.0,80.0,54.0,299.0
DDX51,45.0,53.0,35.0,37.0,46.0,225.0
DDX54,44.0,30.0,89.0,123.0,62.0,352.0
DDX6,38.0,18.0,88.0,95.0,40.0,282.0
DHX37,39.0,24.0,76.0,79.0,47.0,272.0
DIMT1,59.0,39.0,66.0,86.0,34.0,282.0
DKC1,50.0,24.0,78.0,81.0,26.0,256.0
DUSP22,68.0,81.0,50.0,27.0,31.0,254.0
DYNC1I2,103.0,92.0,86.0,90.0,62.0,417.0
DYNLL1,44.0,35.0,27.0,87.0,31.0,252.0
EBNA1BP2,52.0,35.0,32.0,68.0,40.0,226.0
EEF1G,91.0,51.0,30.0,46.0,24.0,241.0
EFTUD2,53.0,25.0,77.0,117.0,33.0,314.0
EIF2B1,24.0,14.0,44.0,76.0,63.0,225.0
EIF2B4,28.0,16.0,39.0,102.0,33.0,230.0
EIF3CL,39.0,21.0,31.0,53.0,104.0,244.0
EIF3G,52.0,19.0,108.0,52.0,85.0,323.0
EIF4G2,50.0,15.0,57.0,41.0,53.0,224.0
ELL,44.0,20.0,45.0,91.0,30.0,231.0
ELMOD3,25.0,27.0,30.0,93.0,35.0,220.0
ELOB,103.0,37.0,55.0,178.0,48.0,433.0
ELP5,85.0,37.0,67.0,73.0,43.0,309.0
EMP1,41.0,28.0,33.0,99.0,30.0,238.0
ERH,50.0,42.0,53.0,126.0,21.0,291.0
ERVMER34-1,19.0,20.0,34.0,123.0,43.0,259.0
ESPL1,35.0,20.0,60.0,78.0,31.0,227.0
EXD3,44.0,27.0,33.0,92.0,20.0,229.0
EXOSC1,60.0,46.0,41.0,44.0,31.0,225.0
EXOSC6,36.0,24.0,41.0,92.0,31.0,232.0
EXOSC7,61.0,39.0,46.0,118.0,15.0,286.0
FAM117A,46.0,23.0,30.0,90.0,24.0,224.0
FAM72D,26.0,13.0,31.0,87.0,68.0,228.0
FAM98C,32.0,17.0,27.0,45.0,81.0,221.0
FARP2,74.0,68.0,30.0,54.0,28.0,249.0
FBL,55.0,36.0,104.0,131.0,52.0,381.0
FBXO46,28.0,21.0,35.0,99.0,26.0,232.0
FCHO2,37.0,11.0,84.0,100.0,54.0,286.0
FDX1L,32.0,25.0,57.0,77.0,20.0,222.0
FEZ2,79.0,43.0,37.0,37.0,28.0,232.0
FFAR1,42.0,22.0,55.0,58.0,44.0,226.0
FGFBP3,49.0,16.0,51.0,45.0,62.0,231.0
FOXD4L1,61.0,37.0,49.0,111.0,47.0,299.0
FOXD4L3,34.0,20.0,68.0,100.0,21.0,246.0
FOXD4L5,22.0,17.0,91.0,42.0,58.0,219.0
FTSJ3,39.0,17.0,53.0,119.0,18.0,259.0
FURIN,40.0,18.0,34.0,110.0,23.0,255.0
GABRG3,42.0,17.0,49.0,64.0,59.0,233.0
GFER,64.0,35.0,30.0,65.0,20.0,222.0
GNL3,36.0,16.0,34.0,105.0,28.0,229.0
GOLGA6C,57.0,51.0,76.0,80.0,42.0,311.0
GOLGA6L9,70.0,88.0,31.0,44.0,14.0,243.0
GOLGA8H,41.0,19.0,83.0,55.0,32.0,233.0
GOLGA8K,45.0,28.0,31.0,120.0,47.0,272.0
GOLGA8O,52.0,36.0,50.0,110.0,29.0,285.0
GRB2,54.0,40.0,69.0,81.0,25.0,268.0
GRIN2C,30.0,22.0,51.0,98.0,19.0,221.0
GTPBP4,49.0,35.0,38.0,130.0,21.0,286.0
H3F3A,34.0,27.0,67.0,57.0,65.0,256.0
HAUS3,45.0,27.0,80.0,95.0,31.0,266.0
HAUS4,48.0,20.0,62.0,64.0,24.0,222.0
HAUS5,61.0,32.0,73.0,94.0,34.0,294.0
HAUS6,36.0,24.0,62.0,98.0,32.0,261.0
HAUS8,67.0,34.0,75.0,100.0,55.0,329.0
HDAC9,53.0,33.0,47.0,78.0,11.0,232.0
HIPK4,34.0,20.0,39.0,84.0,57.0,225.0
HIST2H3D,46.0,16.0,57.0,81.0,17.0,225.0
HMGCR,43.0,28.0,80.0,108.0,29.0,284.0
HNRNPL,68.0,49.0,23.0,66.0,16.0,236.0
HOXC8,29.0,23.0,91.0,63.0,20.0,229.0
HPCAL1,48.0,28.0,42.0,109.0,24.0,252.0
HSPA9,81.0,70.0,46.0,40.0,18.0,247.0
HSPD1,35.0,22.0,31.0,83.0,37.0,229.0
HSPE1,70.0,35.0,65.0,104.0,68.0,347.0
HUWE1,55.0,41.0,80.0,72.0,26.0,296.0
IL5,31.0,29.0,33.0,46.0,74.0,218.0
ILK,47.0,20.0,115.0,120.0,62.0,359.0
IRF3,31.0,18.0,102.0,26.0,60.0,239.0
ISG20L2,57.0,34.0,105.0,80.0,58.0,334.0
ITGAV,52.0,17.0,38.0,88.0,72.0,277.0
ITGB5,88.0,17.0,143.0,119.0,155.0,531.0
KANSL1,50.0,18.0,101.0,78.0,54.0,296.0
KANSL2,36.0,18.0,64.0,81.0,65.0,283.0
KAT8,54.0,25.0,92.0,113.0,39.0,329.0
KIF23,61.0,34.0,91.0,110.0,39.0,340.0
KIF5A,47.0,34.0,50.0,94.0,71.0,300.0
KMT2B,36.0,29.0,33.0,87.0,28.0,230.0
KRR1,32.0,25.0,46.0,121.0,22.0,254.0
KRT16,48.0,29.0,46.0,92.0,20.0,247.0
KRT78,53.0,35.0,37.0,111.0,26.0,274.0
LGALS7,49.0,25.0,58.0,72.0,26.0,230.0
LOC100996414,42.0,22.0,69.0,62.0,79.0,268.0
LOC100996643,55.0,24.0,36.0,75.0,22.0,218.0
LOC100996911,41.0,26.0,56.0,88.0,21.0,232.0
LOC101060588,51.0,25.0,94.0,75.0,36.0,286.0
LOC101927345,49.0,24.0,71.0,64.0,27.0,239.0
LOC101929627,35.0,19.0,115.0,57.0,36.0,260.0
LOC101930047,35.0,18.0,58.0,48.0,77.0,241.0
LOC102724813,60.0,64.0,63.0,89.0,38.0,310.0
LOC105379443,54.0,22.0,35.0,113.0,22.0,249.0
LOC107985798,34.0,39.0,77.0,73.0,44.0,252.0
LOC107987067,45.0,23.0,57.0,61.0,29.0,224.0
LOC112267992,45.0,24.0,41.0,72.0,38.0,226.0
LOC112268003,66.0,23.0,74.0,46.0,71.0,275.0
LRRC37B,39.0,46.0,69.0,52.0,28.0,245.0
LRRC49,42.0,23.0,44.0,105.0,31.0,252.0
LSM2,76.0,38.0,32.0,47.0,35.0,237.0
LSM5,38.0,14.0,39.0,102.0,25.0,236.0
LSM6,54.0,41.0,57.0,118.0,25.0,304.0
LSM7,41.0,37.0,45.0,98.0,37.0,275.0
MAT2A,51.0,31.0,45.0,85.0,16.0,254.0
MCM6,39.0,29.0,42.0,77.0,28.0,220.0
MCM7,69.0,30.0,104.0,106.0,45.0,359.0
MDM4,76.0,34.0,51.0,79.0,33.0,275.0
MED1,63.0,31.0,65.0,102.0,21.0,298.0
MED11,35.0,21.0,35.0,57.0,80.0,235.0
MED30,69.0,21.0,94.0,93.0,96.0,375.0
METAP2,77.0,43.0,29.0,48.0,21.0,235.0
MMAB,51.0,28.0,38.0,57.0,62.0,234.0
MPHOSPH10,52.0,22.0,46.0,111.0,47.0,287.0
MRPL49,68.0,31.0,54.0,87.0,29.0,287.0
MRPL50,70.0,37.0,50.0,146.0,27.0,345.0
MRPS21,48.0,29.0,64.0,87.0,32.0,271.0
MT1A,38.0,31.0,36.0,95.0,23.0,231.0
MT2A,63.0,32.0,40.0,154.0,30.0,333.0
MTBP,46.0,21.0,43.0,67.0,42.0,226.0
MTCL1,95.0,82.0,22.0,24.0,22.0,237.0
MYL6,41.0,21.0,28.0,95.0,27.0,223.0
NACA,31.0,17.0,60.0,57.0,56.0,223.0
NARFL,60.0,34.0,50.0,88.0,25.0,260.0
NARR,64.0,57.0,36.0,40.0,13.0,224.0
NCAPH2,51.0,21.0,41.0,92.0,46.0,264.0
NCL,53.0,33.0,62.0,107.0,31.0,294.0
NDUFV2,27.0,21.0,54.0,95.0,17.0,219.0
NFATC4,29.0,24.0,56.0,91.0,26.0,225.0
NHP2,24.0,18.0,28.0,106.0,52.0,233.0
NIP7,48.0,23.0,43.0,65.0,33.0,223.0
NIPBL,74.0,31.0,102.0,71.0,104.0,374.0
NLE1,91.0,57.0,71.0,150.0,25.0,407.0
NMD3,68.0,60.0,34.0,44.0,12.0,222.0
NOB1,46.0,28.0,74.0,99.0,35.0,286.0
NOC4L,37.0,34.0,40.0,106.0,32.0,261.0
NOL10,53.0,39.0,41.0,72.0,29.0,228.0
NOP16,42.0,24.0,31.0,83.0,48.0,229.0
NOP2,40.0,24.0,36.0,85.0,25.0,223.0
NPIPA2,70.0,56.0,48.0,124.0,31.0,331.0
NRL,31.0,19.0,38.0,99.0,36.0,227.0
NSA2,29.0,27.0,79.0,67.0,30.0,239.0
NUS1,56.0,76.0,30.0,53.0,39.0,251.0
NXPH4,28.0,22.0,30.0,88.0,45.0,219.0
OPA1,37.0,23.0,56.0,111.0,23.0,265.0
PAK1IP1,63.0,36.0,35.0,111.0,34.0,287.0
PCBP2,59.0,31.0,67.0,131.0,18.0,315.0
PCDHA1,28.0,25.0,58.0,79.0,29.0,229.0
PCSK6,43.0,27.0,37.0,109.0,22.0,244.0
PDCD11,31.0,16.0,40.0,83.0,46.0,225.0
PDCD2,54.0,75.0,34.0,69.0,42.0,263.0
PES1,50.0,32.0,74.0,100.0,45.0,300.0
PHB,54.0,39.0,47.0,48.0,31.0,229.0
PIKFYVE,63.0,34.0,46.0,80.0,31.0,254.0
PLK4,30.0,15.0,86.0,60.0,65.0,256.0
PLRG1,30.0,24.0,35.0,92.0,26.0,222.0
POLA2,46.0,30.0,68.0,47.0,32.0,228.0
POLD2,56.0,26.0,50.0,103.0,29.0,262.0
POLE,54.0,43.0,45.0,115.0,20.0,297.0
POLE2,45.0,24.0,101.0,45.0,105.0,318.0
POLR2G,38.0,26.0,75.0,54.0,34.0,236.0
POLR2L,39.0,23.0,79.0,105.0,33.0,278.0
POMC,45.0,53.0,46.0,89.0,15.0,261.0
POP1,43.0,20.0,36.0,83.0,32.0,228.0
POP5,41.0,28.0,21.0,63.0,66.0,222.0
PPP1R14B,47.0,21.0,26.0,111.0,16.0,226.0
PPP1R1A,48.0,35.0,32.0,88.0,30.0,235.0
PPP1R3E,108.0,121.0,122.0,38.0,42.0,434.0
PRC1,76.0,58.0,51.0,154.0,31.0,367.0
PRIM1,38.0,21.0,75.0,91.0,28.0,251.0
PRIM2,48.0,54.0,42.0,81.0,21.0,255.0
PRKD3,62.0,28.0,26.0,80.0,22.0,222.0
PRMT5,46.0,39.0,49.0,121.0,17.0,282.0
PROCR,43.0,29.0,31.0,108.0,16.0,235.0
PRPF31,65.0,72.0,22.0,60.0,20.0,247.0
PRPF40B,24.0,19.0,42.0,100.0,29.0,218.0
PSMA5,58.0,15.0,80.0,57.0,116.0,325.0
PSMA6,52.0,17.0,55.0,73.0,122.0,336.0
PSMA7,27.0,15.0,40.0,69.0,94.0,250.0
PSMD13,58.0,35.0,44.0,100.0,28.0,263.0
PSMD3,63.0,29.0,135.0,52.0,119.0,390.0
PSMD6,33.0,14.0,58.0,67.0,70.0,238.0
PSMG3,52.0,27.0,69.0,63.0,31.0,244.0
PTCD3,50.0,21.0,27.0,121.0,15.0,254.0
PWP2,40.0,23.0,84.0,82.0,25.0,258.0
RAB7A,24.0,33.0,94.0,64.0,20.0,231.0
RAB8B,71.0,54.0,43.0,39.0,28.0,240.0
RABGEF1,25.0,16.0,83.0,29.0,94.0,236.0
RABGGTB,21.0,17.0,93.0,40.0,50.0,227.0
RAC1,52.0,27.0,121.0,87.0,65.0,328.0
RAD21,49.0,29.0,36.0,62.0,72.0,251.0
RAD51,39.0,27.0,80.0,53.0,60.0,276.0
RAE1,60.0,35.0,35.0,73.0,30.0,246.0
RASSF5,31.0,17.0,23.0,67.0,77.0,225.0
RBM19,31.0,24.0,38.0,122.0,22.0,249.0
RBM25,49.0,59.0,46.0,73.0,36.0,279.0
RBMS2,28.0,27.0,27.0,119.0,27.0,241.0
RBX1,22.0,20.0,48.0,41.0,79.0,221.0
RCL1,48.0,26.0,83.0,126.0,35.0,324.0
RDM1,44.0,24.0,32.0,97.0,22.0,235.0
RELB,39.0,23.0,30.0,118.0,28.0,244.0
RFC5,37.0,16.0,118.0,72.0,21.0,265.0
RHPN2,46.0,12.0,61.0,49.0,35.0,222.0
RIMBP3C,80.0,52.0,22.0,43.0,25.0,229.0
RINL,27.0,18.0,82.0,42.0,73.0,241.0
RIOK2,36.0,38.0,41.0,92.0,33.0,232.0
RNASE1,29.0,21.0,42.0,118.0,18.0,234.0
RPL10,30.0,14.0,57.0,75.0,51.0,233.0
RPL12,46.0,46.0,53.0,58.0,28.0,232.0
RPL13,34.0,23.0,37.0,95.0,38.0,236.0
RPL13A,31.0,20.0,74.0,71.0,65.0,268.0
RPL17,63.0,27.0,61.0,83.0,43.0,284.0
RPL18,47.0,27.0,38.0,85.0,34.0,249.0
RPL18A,53.0,32.0,77.0,70.0,44.0,284.0
RPL21,41.0,17.0,48.0,75.0,34.0,232.0
RPL23A,49.0,31.0,26.0,88.0,59.0,260.0
RPL26,28.0,20.0,39.0,104.0,30.0,236.0
RPL27,30.0,24.0,74.0,99.0,28.0,271.0
RPL37,38.0,21.0,84.0,43.0,69.0,257.0
RPS10,49.0,31.0,35.0,93.0,38.0,239.0
RPS12,42.0,26.0,43.0,72.0,42.0,234.0
RPS27,36.0,20.0,66.0,77.0,41.0,249.0
RPS5,46.0,36.0,30.0,75.0,93.0,290.0
RPS6,25.0,26.0,72.0,34.0,119.0,278.0
RPS6KB1,61.0,41.0,33.0,78.0,20.0,249.0
RPS7,39.0,17.0,56.0,74.0,33.0,227.0
RPS9,24.0,21.0,41.0,64.0,83.0,237.0
RPSAP58,67.0,34.0,101.0,88.0,52.0,335.0
RRM1,65.0,35.0,65.0,103.0,85.0,345.0
RRP1,41.0,27.0,51.0,98.0,35.0,261.0
RRS1,28.0,24.0,46.0,51.0,66.0,220.0
RSU1,48.0,22.0,81.0,33.0,38.0,225.0
RUVBL2,47.0,22.0,62.0,95.0,39.0,262.0
SASS6,47.0,19.0,58.0,107.0,39.0,284.0
SDAD1,52.0,40.0,70.0,133.0,28.0,326.0
SDR42E2,54.0,33.0,73.0,65.0,62.0,289.0
SENP1,43.0,30.0,34.0,113.0,14.0,251.0
SEPT7,44.0,32.0,64.0,62.0,28.0,233.0
SETD1A,65.0,26.0,38.0,111.0,28.0,275.0
SF3A2,29.0,14.0,37.0,45.0,82.0,219.0
SF3B3,39.0,12.0,113.0,30.0,93.0,286.0
SF3B5,30.0,14.0,128.0,39.0,71.0,285.0
SFPQ,130.0,43.0,146.0,103.0,150.0,577.0
SKA1,48.0,23.0,40.0,79.0,33.0,234.0
SKA2,56.0,26.0,46.0,57.0,25.0,219.0
SLC35E2B,67.0,83.0,49.0,27.0,27.0,248.0
SLC39A7,38.0,13.0,60.0,58.0,74.0,248.0
SMARCA2,31.0,29.0,92.0,32.0,53.0,240.0
SMARCC2,21.0,21.0,43.0,98.0,35.0,232.0
SMC4,42.0,26.0,124.0,108.0,40.0,338.0
SMPD4,31.0,30.0,76.0,112.0,60.0,309.0
SNRPA1,28.0,18.0,78.0,58.0,45.0,226.0
SP7,46.0,18.0,30.0,121.0,38.0,251.0
SPACA6,41.0,25.0,50.0,85.0,25.0,233.0
SPAG5,73.0,31.0,33.0,99.0,21.0,275.0
SPDYE16,48.0,30.0,45.0,38.0,70.0,225.0
SPDYE2B,32.0,24.0,69.0,59.0,51.0,234.0
SRP72,42.0,14.0,83.0,55.0,47.0,239.0
SRRT,42.0,15.0,46.0,84.0,109.0,291.0
STIL,49.0,43.0,58.0,132.0,61.0,346.0
STX12,58.0,51.0,82.0,36.0,17.0,258.0
SUPT16H,53.0,21.0,58.0,63.0,40.0,232.0
SURF1,102.0,100.0,15.0,25.0,25.0,260.0
SYTL1,30.0,28.0,65.0,56.0,38.0,229.0
TADA1,35.0,18.0,16.0,52.0,90.0,221.0
TAF1C,63.0,34.0,58.0,95.0,52.0,306.0
TARDBP,48.0,29.0,39.0,83.0,23.0,231.0
TATDN2,46.0,18.0,28.0,109.0,45.0,260.0
TBCD,37.0,19.0,28.0,87.0,43.0,225.0
TCL1A,40.0,17.0,42.0,75.0,50.0,237.0
TECR,26.0,36.0,33.0,90.0,23.0,228.0
TELO2,55.0,47.0,64.0,102.0,23.0,294.0
TERF1,42.0,21.0,35.0,53.0,63.0,224.0
TICAM1,25.0,20.0,82.0,61.0,55.0,252.0
TIMM44,35.0,16.0,73.0,33.0,55.0,218.0
TLN1,43.0,18.0,87.0,88.0,64.0,299.0
TMEM230,35.0,16.0,100.0,58.0,30.0,235.0
TMPPE,46.0,21.0,42.0,92.0,19.0,224.0
TMTC4,63.0,48.0,55.0,36.0,19.0,234.0
TNPO1,73.0,24.0,152.0,63.0,82.0,388.0
TOMM22,112.0,17.0,58.0,38.0,46.0,266.0
TOMM40,69.0,24.0,58.0,46.0,66.0,270.0
TP53TG3F,33.0,21.0,83.0,66.0,25.0,248.0
TRIP13,41.0,25.0,31.0,125.0,23.0,259.0
TSEN15,51.0,24.0,43.0,64.0,34.0,225.0
TUBA1C,46.0,25.0,33.0,95.0,32.0,238.0
TUBB,51.0,36.0,55.0,118.0,39.0,295.0
TUBGCP3,33.0,28.0,55.0,131.0,45.0,295.0
TUBGCP5,51.0,28.0,85.0,99.0,45.0,306.0
TUT1,59.0,30.0,48.0,54.0,15.0,220.0
TXNL4A,53.0,22.0,35.0,69.0,53.0,233.0
UBA1,34.0,22.0,33.0,75.0,79.0,236.0
UBE2C,47.0,22.0,50.0,127.0,19.0,270.0
UBE2S,35.0,14.0,76.0,43.0,70.0,236.0
UBFD1,31.0,23.0,45.0,104.0,22.0,235.0
UBL5,69.0,28.0,36.0,94.0,28.0,262.0
UGT1A7,58.0,34.0,16.0,76.0,24.0,218.0
UPK1A,62.0,33.0,75.0,92.0,30.0,309.0
USP17L29,54.0,34.0,87.0,98.0,31.0,300.0
USP5,44.0,19.0,52.0,65.0,36.0,221.0
UTP11L,41.0,48.0,45.0,101.0,33.0,267.0
UTP6,45.0,35.0,76.0,121.0,81.0,360.0
VIM,75.0,29.0,31.0,50.0,23.0,221.0
VPS28,23.0,12.0,120.0,35.0,81.0,258.0
VPS52,39.0,21.0,118.0,47.0,22.0,241.0
WDHD1,39.0,28.0,57.0,107.0,38.0,284.0
WDR3,51.0,46.0,43.0,67.0,21.0,232.0
WDR43,39.0,24.0,36.0,74.0,24.0,222.0
WNK1,94.0,25.0,30.0,44.0,73.0,269.0
WNT3,71.0,53.0,35.0,56.0,22.0,235.0
WSB1,50.0,20.0,54.0,53.0,40.0,226.0
WTIP,44.0,23.0,85.0,36.0,49.0,246.0
YWHAE,63.0,23.0,57.0,43.0,45.0,242.0
ZC3H10,73.0,34.0,54.0,53.0,19.0,231.0
ZCCHC6,37.0,12.0,91.0,26.0,69.0,233.0
ZFAND2A,66.0,53.0,42.0,44.0,18.0,221.0
ZNF318,40.0,34.0,44.0,97.0,26.0,249.0
ZNF524,66.0,27.0,34.0,39.0,48.0,227.0
ZNF778,52.0,24.0,29.0,87.0,20.0,222.0
ZNF780A,41.0,18.0,44.0,76.0,32.0,218.0
