Table S2. (B) Primary screen extracted image features.,,,,,,,,,,,
feature,Analogous CellProfiler feature,description,Feature transformation,Used by interphase/mitotic cell support vector classifier,Used in interphase PHATE analysis,Used in mitotic PHATE analysis,Interphase heatmap display name,Mitotic heatmap display name,,,
cell_gh2ax_int,Intensity_IntegratedIntensity,The sum of gamma-H2AX channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_gh2ax_mean,Intensity_MeanIntensity,The mean of gamma-H2AX channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_gh2ax_std,Intensity_StdIntensity,The standard deviation of gamma-H2AX channel intensity values within the segmented cell,,,,,,,,,
cell_gh2ax_max,Intensity_MaxIntensity,The maximum of gamma-H2AX channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_gh2ax_min,Intensity_MinIntensity,The minimum of gamma-H2AX channel intensity values within the segmented cell,,,TRUE,TRUE,,,,,
cell_gh2ax_mass_displacement,Intensity_MassDisplacement,"The euclidean distance between the segmented cell's geometric centroid and the gamma-H2AX channel intensity weighted centroid (e.g., center of gravity of the gamma-H2AX channel intensity values).",,,TRUE,TRUE,,,,,
cell_gh2ax_lower_quartile,Intensity_LowerQuatileIntensity,The first quartile (25th percentile) of gamma-H2AX channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_gh2ax_median,Intensity_MedianIntensity,The median of gamma-H2AX channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_gh2ax_mad,Intensity_MADIntensity,The median absolute deviation of gamma-H2AX channel intensity values within the segmented cell,,TRUE,TRUE,TRUE,,,,,
cell_gh2ax_upper_quartile,Intensity_UpperQuartileIntensity,The third quartile (75th percentile) of gamma-H2AX channel intensity values within the segmented cell,,,,,,,,,
cell_gh2ax_foci_count,,"gamma-H2AX foci count, segmented by thresholding after tophat and Laplacian-of-Gaussian (sigma=3) filters",,,,TRUE,,,,,
cell_gh2ax_foci_area,,"total pixel area of gamma-H2AX foci, segmented by thresholding after tophat and Laplacian-of-Gaussian (sigma=3) filters",,,,TRUE,,,,,
cell_gh2ax_int_edge,Intensity_IntegratedIntensityEdge,The sum of gamma-H2AX channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,TRUE,TRUE,,,,,
cell_gh2ax_mean_edge,Intensity_MeanIntensityEdge,The mean of gamma-H2AX channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,TRUE,TRUE,TRUE,,,,,
cell_gh2ax_std_edge,Intensity_StdIntensityEdge,The standard deviation of gamma-H2AX channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,TRUE,TRUE,TRUE,,,,,
cell_gh2ax_max_edge,Intensity_MaxIntensityEdge,The maximum of gamma-H2AX channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_gh2ax_min_edge,Intensity_MinIntensityEdge,The minimum of gamma-H2AX channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_gh2ax_center_mass_r,Location_CenterMassIntensity_Y,The row coordinate relative to the segmented cell's bounding box corresponding to the center of mass of gamma-H2AX channel intensity values.,,,,,,,,,
cell_gh2ax_center_mass_c,Location_CenterMassIntensity_X,The column coordinate relative to the segmented cell's bounding box corresponding to the center of mass of gamma-H2AX channel intensity values.,,,,,,,,,
cell_gh2ax_max_location_r,Location_MaxIntensity_Y,The row coordinate relative to the segmented cell's bounding box corresponding to the pixel containing the maximum of gamma-H2AX channel intensity values.,,,,,,,,,
cell_gh2ax_max_location_c,Location_MaxIntensity_X,The column coordinate relative to the segmented cell's bounding box corresponding to the pixel containing the maximum of gamma-H2AX channel intensity values.,,,,,,,,,
cell_phalloidin_int,Intensity_IntegratedIntensity,The sum of phalloidin channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_phalloidin_mean,Intensity_MeanIntensity,The mean of phalloidin channel intensity values within the segmented cell,,,,TRUE,actin mean intensity,Cell actin mean intensity,,,
cell_phalloidin_std,Intensity_StdIntensity,The standard deviation of phalloidin channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_phalloidin_max,Intensity_MaxIntensity,The maximum of phalloidin channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_phalloidin_min,Intensity_MinIntensity,The minimum of phalloidin channel intensity values within the segmented cell,,,TRUE,TRUE,,,,,
cell_phalloidin_mass_displacement,Intensity_MassDisplacement,"The euclidean distance between the segmented cell's geometric centroid and the phalloidin channel intensity weighted centroid (e.g., center of gravity of the phalloidin channel intensity values).",,,TRUE,TRUE,,,,,
cell_phalloidin_lower_quartile,Intensity_LowerQuatileIntensity,The first quartile (25th percentile) of phalloidin channel intensity values within the segmented cell,,TRUE,,TRUE,,,,,
cell_phalloidin_median,Intensity_MedianIntensity,The median of phalloidin channel intensity values within the segmented cell,,TRUE,TRUE,,,,,,
cell_phalloidin_mad,Intensity_MADIntensity,The median absolute deviation of phalloidin channel intensity values within the segmented cell,,,,TRUE,,,,,
cell_phalloidin_upper_quartile,Intensity_UpperQuartileIntensity,The third quartile (75th percentile) of phalloidin channel intensity values within the segmented cell,,,,,,,,,
cell_phalloidin_int_edge,Intensity_IntegratedIntensityEdge,The sum of phalloidin channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_phalloidin_mean_edge,Intensity_MeanIntensityEdge,The mean of phalloidin channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,TRUE,TRUE,TRUE,,,,,
cell_phalloidin_std_edge,Intensity_StdIntensityEdge,The standard deviation of phalloidin channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_phalloidin_max_edge,Intensity_MaxIntensityEdge,The maximum of phalloidin channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_phalloidin_min_edge,Intensity_MinIntensityEdge,The minimum of phalloidin channel intensity values within pixels bordering the edge of the segmented cell. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
cell_phalloidin_center_mass_r,Location_CenterMassIntensity_Y,The row coordinate relative to the segmented cell's bounding box corresponding to the center of mass of phalloidin channel intensity values.,,,,,,,,,
cell_phalloidin_center_mass_c,Location_CenterMassIntensity_X,The column coordinate relative to the segmented cell's bounding box corresponding to the center of mass of phalloidin channel intensity values.,,,,,,,,,
cell_phalloidin_max_location_r,Location_MaxIntensity_Y,The row coordinate relative to the segmented cell's bounding box corresponding to the pixel containing the maximum of phalloidin channel intensity values.,,,,,,,,,
cell_phalloidin_max_location_c,Location_MaxIntensity_X,The column coordinate relative to the segmented cell's bounding box corresponding to the pixel containing the maximum of phalloidin channel intensity values.,,,,,,,,,
nucleus_dapi_int,Intensity_IntegratedIntensity,The sum of DAPI channel intensity values within the segmented nucleus,,TRUE,TRUE,TRUE,DNA integrated intensity,Nucleus DNA integrated intensity,,,
nucleus_dapi_mean,Intensity_MeanIntensity,The mean of DAPI channel intensity values within the segmented nucleus,,TRUE,TRUE,TRUE,DNA mean intensity,Nucleus DNA mean intensity,,,
nucleus_dapi_std,Intensity_StdIntensity,The standard deviation of DAPI channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_dapi_max,Intensity_MaxIntensity,The maximum of DAPI channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_dapi_min,Intensity_MinIntensity,The minimum of DAPI channel intensity values within the segmented nucleus,,,,,,,,,
nucleus_dapi_mass_displacement,Intensity_MassDisplacement,"The euclidean distance between the segmented nucleus's geometric centroid and the DAPI channel intensity weighted centroid (e.g., center of gravity of the DAPI channel intensity values).",,,TRUE,TRUE,,Nucleus DNA mass displacement,,,
nucleus_dapi_lower_quartile,Intensity_LowerQuatileIntensity,The first quartile (25th percentile) of DAPI channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_dapi_median,Intensity_MedianIntensity,The median of DAPI channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_dapi_mad,Intensity_MADIntensity,The median absolute deviation of DAPI channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_dapi_upper_quartile,Intensity_UpperQuartileIntensity,The third quartile (75th percentile) of DAPI channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_dapi_int_edge,Intensity_IntegratedIntensityEdge,The sum of DAPI channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_mean_edge,Intensity_MeanIntensityEdge,The mean of DAPI channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_dapi_std_edge,Intensity_StdIntensityEdge,The standard deviation of DAPI channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_dapi_max_edge,Intensity_MaxIntensityEdge,The maximum of DAPI channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,TRUE,,TRUE,,,,,
nucleus_dapi_min_edge,Intensity_MinIntensityEdge,The minimum of DAPI channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_dapi_center_mass_r,Location_CenterMassIntensity_Y,The row coordinate relative to the segmented nucleus's bounding box corresponding to the center of mass of DAPI channel intensity values.,,,,,,,,,
nucleus_dapi_center_mass_c,Location_CenterMassIntensity_X,The column coordinate relative to the segmented nucleus's bounding box corresponding to the center of mass of DAPI channel intensity values.,,,,,,,,,
nucleus_dapi_max_location_r,Location_MaxIntensity_Y,The row coordinate relative to the segmented nucleus's bounding box corresponding to the pixel containing the maximum of DAPI channel intensity values.,,,,,,,,,
nucleus_dapi_max_location_c,Location_MaxIntensity_X,The column coordinate relative to the segmented nucleus's bounding box corresponding to the pixel containing the maximum of DAPI channel intensity values.,,,,,,,,,
nucleus_tubulin_int,Intensity_IntegratedIntensity,The sum of tubulin channel intensity values within the segmented nucleus,,TRUE,,TRUE,,,,,
nucleus_tubulin_mean,Intensity_MeanIntensity,The mean of tubulin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_tubulin_std,Intensity_StdIntensity,The standard deviation of tubulin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_tubulin_max,Intensity_MaxIntensity,The maximum of tubulin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_tubulin_min,Intensity_MinIntensity,The minimum of tubulin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_tubulin_mass_displacement,Intensity_MassDisplacement,"The euclidean distance between the segmented nucleus's geometric centroid and the tubulin channel intensity weighted centroid (e.g., center of gravity of the tubulin channel intensity values).",,,TRUE,TRUE,,,,,
nucleus_tubulin_lower_quartile,Intensity_LowerQuatileIntensity,The first quartile (25th percentile) of tubulin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_tubulin_median,Intensity_MedianIntensity,The median of tubulin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_tubulin_mad,Intensity_MADIntensity,The median absolute deviation of tubulin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_tubulin_upper_quartile,Intensity_UpperQuartileIntensity,The third quartile (75th percentile) of tubulin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_tubulin_int_edge,Intensity_IntegratedIntensityEdge,The sum of tubulin channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,TRUE,TRUE,,,,,
nucleus_tubulin_mean_edge,Intensity_MeanIntensityEdge,The mean of tubulin channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,TRUE,,TRUE,,Nucleus edge tubulin mean intensity,,,
nucleus_tubulin_std_edge,Intensity_StdIntensityEdge,The standard deviation of tubulin channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,TRUE,TRUE,TRUE,,Nucleus edge tubulin intensity std. dev.,,,
nucleus_tubulin_max_edge,Intensity_MaxIntensityEdge,The maximum of tubulin channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_tubulin_min_edge,Intensity_MinIntensityEdge,The minimum of tubulin channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,,,,,,
nucleus_tubulin_center_mass_r,Location_CenterMassIntensity_Y,The row coordinate relative to the segmented nucleus's bounding box corresponding to the center of mass of tubulin channel intensity values.,,,,,,,,,
nucleus_tubulin_center_mass_c,Location_CenterMassIntensity_X,The column coordinate relative to the segmented nucleus's bounding box corresponding to the center of mass of tubulin channel intensity values.,,,,,,,,,
nucleus_tubulin_max_location_r,Location_MaxIntensity_Y,The row coordinate relative to the segmented nucleus's bounding box corresponding to the pixel containing the maximum of tubulin channel intensity values.,,,,,,,,,
nucleus_tubulin_max_location_c,Location_MaxIntensity_X,The column coordinate relative to the segmented nucleus's bounding box corresponding to the pixel containing the maximum of tubulin channel intensity values.,,,,,,,,,
nucleus_gh2ax_int,Intensity_IntegratedIntensity,The sum of gamma-H2AX channel intensity values within the segmented nucleus,,TRUE,TRUE,,,,,,
nucleus_gh2ax_mean,Intensity_MeanIntensity,The mean of gamma-H2AX channel intensity values within the segmented nucleus,,,,TRUE,$\gamma$H2AX mean intensity,Nucleus $\gamma$H2AX mean intensity,,,
nucleus_gh2ax_std,Intensity_StdIntensity,The standard deviation of gamma-H2AX channel intensity values within the segmented nucleus,,TRUE,TRUE,TRUE,,,,,
nucleus_gh2ax_max,Intensity_MaxIntensity,The maximum of gamma-H2AX channel intensity values within the segmented nucleus,,,,,,,,,
nucleus_gh2ax_min,Intensity_MinIntensity,The minimum of gamma-H2AX channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_gh2ax_mass_displacement,Intensity_MassDisplacement,"The euclidean distance between the segmented nucleus's geometric centroid and the gamma-H2AX channel intensity weighted centroid (e.g., center of gravity of the gamma-H2AX channel intensity values).",,,TRUE,TRUE,,,,,
nucleus_gh2ax_lower_quartile,Intensity_LowerQuatileIntensity,The first quartile (25th percentile) of gamma-H2AX channel intensity values within the segmented nucleus,,,,,,,,,
nucleus_gh2ax_median,Intensity_MedianIntensity,The median of gamma-H2AX channel intensity values within the segmented nucleus,,TRUE,TRUE,,,,,,
nucleus_gh2ax_mad,Intensity_MADIntensity,The median absolute deviation of gamma-H2AX channel intensity values within the segmented nucleus,,,,,,,,,
nucleus_gh2ax_upper_quartile,Intensity_UpperQuartileIntensity,The third quartile (75th percentile) of gamma-H2AX channel intensity values within the segmented nucleus,,,,,,,,,
nucleus_gh2ax_int_edge,Intensity_IntegratedIntensityEdge,The sum of gamma-H2AX channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_gh2ax_mean_edge,Intensity_MeanIntensityEdge,The mean of gamma-H2AX channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_gh2ax_std_edge,Intensity_StdIntensityEdge,The standard deviation of gamma-H2AX channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,TRUE,TRUE,TRUE,,,,,
nucleus_gh2ax_max_edge,Intensity_MaxIntensityEdge,The maximum of gamma-H2AX channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_gh2ax_min_edge,Intensity_MinIntensityEdge,The minimum of gamma-H2AX channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,,,,,,
nucleus_gh2ax_center_mass_r,Location_CenterMassIntensity_Y,The row coordinate relative to the segmented nucleus's bounding box corresponding to the center of mass of gamma-H2AX channel intensity values.,,,,,,,,,
nucleus_gh2ax_center_mass_c,Location_CenterMassIntensity_X,The column coordinate relative to the segmented nucleus's bounding box corresponding to the center of mass of gamma-H2AX channel intensity values.,,,,,,,,,
nucleus_gh2ax_max_location_r,Location_MaxIntensity_Y,The row coordinate relative to the segmented nucleus's bounding box corresponding to the pixel containing the maximum of gamma-H2AX channel intensity values.,,,,,,,,,
nucleus_gh2ax_max_location_c,Location_MaxIntensity_X,The column coordinate relative to the segmented nucleus's bounding box corresponding to the pixel containing the maximum of gamma-H2AX channel intensity values.,,,,,,,,,
nucleus_phalloidin_int,Intensity_IntegratedIntensity,The sum of phalloidin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_phalloidin_mean,Intensity_MeanIntensity,The mean of phalloidin channel intensity values within the segmented nucleus,,,,,,,,,
nucleus_phalloidin_std,Intensity_StdIntensity,The standard deviation of phalloidin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_phalloidin_max,Intensity_MaxIntensity,The maximum of phalloidin channel intensity values within the segmented nucleus,,,,,,,,,
nucleus_phalloidin_min,Intensity_MinIntensity,The minimum of phalloidin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_phalloidin_mass_displacement,Intensity_MassDisplacement,"The euclidean distance between the segmented nucleus's geometric centroid and the phalloidin channel intensity weighted centroid (e.g., center of gravity of the phalloidin channel intensity values).",,,TRUE,TRUE,,,,,
nucleus_phalloidin_lower_quartile,Intensity_LowerQuatileIntensity,The first quartile (25th percentile) of phalloidin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_phalloidin_median,Intensity_MedianIntensity,The median of phalloidin channel intensity values within the segmented nucleus,,,,,,,,,
nucleus_phalloidin_mad,Intensity_MADIntensity,The median absolute deviation of phalloidin channel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_phalloidin_upper_quartile,Intensity_UpperQuartileIntensity,The third quartile (75th percentile) of phalloidin channel intensity values within the segmented nucleus,,,,,,,,,
nucleus_phalloidin_int_edge,Intensity_IntegratedIntensityEdge,The sum of phalloidin channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,TRUE,,,,,,
nucleus_phalloidin_mean_edge,Intensity_MeanIntensityEdge,The mean of phalloidin channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_phalloidin_std_edge,Intensity_StdIntensityEdge,The standard deviation of phalloidin channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_phalloidin_max_edge,Intensity_MaxIntensityEdge,The maximum of phalloidin channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_phalloidin_min_edge,Intensity_MinIntensityEdge,The minimum of phalloidin channel intensity values within pixels bordering the edge of the segmented nucleus. Edge is defined with connectivity of 2 (includes pixels diagonally-adjacent to the edge).,,,,TRUE,,,,,
nucleus_phalloidin_center_mass_r,Location_CenterMassIntensity_Y,The row coordinate relative to the segmented nucleus's bounding box corresponding to the center of mass of phalloidin channel intensity values.,,,,,,,,,
nucleus_phalloidin_center_mass_c,Location_CenterMassIntensity_X,The column coordinate relative to the segmented nucleus's bounding box corresponding to the center of mass of phalloidin channel intensity values.,,,,,,,,,
nucleus_phalloidin_max_location_r,Location_MaxIntensity_Y,The row coordinate relative to the segmented nucleus's bounding box corresponding to the pixel containing the maximum of phalloidin channel intensity values.,,,,,,,,,
nucleus_phalloidin_max_location_c,Location_MaxIntensity_X,The column coordinate relative to the segmented nucleus's bounding box corresponding to the pixel containing the maximum of phalloidin channel intensity values.,,,,,,,,,
cell_dapi_frac_at_d_0,RadialDistribution_FracAtD_{channel}_1of4,"First, the segmented cell is divided into 4 concentric rings centered on the point farthest from the cell edge; the width of each ring is 1/4th of the radius at the approximate angle of the cell. This feature is the fraction of the integrated intensity of the segmented cell that is within the innermost ring",,,,TRUE,,,,,
