Gene,Cells_Granularity_8_ConA
HGS,0.000574692
HLA-DQB1,0.000574692
HNRNPAB,0.000574692
HOXD4,0.000574692
HSBP1,0.000574692
HSPA9,0.000574692
INTS2,0.000574692
IST1,0.000574692
KCMF1,0.000574692
KCNH3,0.000574692
KCNJ16,0.000574692
KCNK5,0.000574692
KCNT1,0.000574692
KDM4D,0.000574692
KIAA0319L,0.000574692
KLHL36,0.000574692
KRT32,0.000574692
LAPTM4A,0.000574692
LCN2,0.000574692
LDHAL6A,0.000574692
LIPG,0.000574692
LIPT1,0.000574692
LNP1,0.000574692
LOC101929692,0.000574692
LOC101929805,0.000574692
LOC102723623,0.000574692
LOC107983998,0.000574692
LOC107984449,0.000574692
LOC107987067,0.000574692
LOC107987254,0.000574692
LOC112267878,0.000574692
LPIN3,0.000574692
LRCOL1,0.000574692
LRRC3,0.000574692
LRRC8E,0.000574692
LSM7,0.000574692
MANF,0.000574692
MBD3L5,0.000574692
MBNL2,0.000574692
MED4,0.000574692
MFSD9,0.000574692
MGAT1,0.000574692
MMP26,0.000574692
MOB1A,0.000574692
MROH6,0.000574692
MRPL36,0.000574692
MRPL43,0.000574692
MYH3,0.000574692
N4BP3,0.000574692
NAA40,0.000574692
NAGLU,0.000574692
NBPF1,0.000574692
NCAPH,0.000574692
NDST2,0.000574692
NDUFS2,0.000574692
NEUROD2,0.000574692
NGRN,0.000574692
NINJ2,0.000574692
NMT1,0.000574692
NOS3,0.000574692
NR5A2,0.000574692
NRIP2,0.000574692
NTM,0.000574692
ODF3L1,0.000574692
OR10R2,0.000574692
OSBPL2,0.000574692
OTOG,0.000574692
OVOL3,0.000574692
P2RX3,0.000574692
PAK2,0.000574692
PARP11,0.000574692
PCDHA10,0.000574692
PDCD6IP,0.000574692
PDIK1L,0.000574692
PFDN4,0.000574692
PHC2,0.000574692
PLEKHH3,0.000574692
PMM2,0.000574692
PODNL1,0.000574692
POLD2,0.000574692
POLR1A,0.000574692
POLR2C,0.000574692
POLR2K,0.000574692
POMT1,0.000574692
PPP1R12A,0.000574692
PRDM7,0.000574692
PREB,0.000574692
PRICKLE2,0.000574692
PRKCSH,0.000574692
PROM2,0.000574692
PROS1,0.000574692
PRR13,0.000574692
PRSS3,0.000574692
PSMA7,0.000574692
PSMB4,0.000574692
PSME3,0.000574692
PSORS1C1,0.000574692
PTPN20,0.000574692
PTPRF,0.000574692
PTPRO,0.000574692
RAD50,0.000574692
RBAK-RBAKDN,0.000574692
RBMS2,0.000574692
RBMY1A1,0.000574692
RCC1,0.000574692
RCCD1,0.000574692
RGS13,0.000574692
RICTOR,0.000574692
RMI2,0.000574692
RPL18A,0.000574692
RPL19,0.000574692
RPL23A,0.000574692
RRM2B,0.000574692
SAMD1,0.000574692
SCAMP2,0.000574692
SCGB3A2,0.000574692
SCRIB,0.000574692
SCRN2,0.000574692
SESN2,0.000574692
SFN,0.000574692
SKA3,0.000574692
SKI,0.000574692
SLC15A2,0.000574692
SLC30A7,0.000574692
SLC33A1,0.000574692
SLC35F2,0.000574692
SLC38A11,0.000574692
SLC6A4,0.000574692
SLC7A3,0.000574692
SLCO4C1,0.000574692
SMC3,0.000574692
SNAI1,0.000574692
SNAPC4,0.000574692
SNRPD2,0.000574692
SNRPD3,0.000574692
SNURF,0.000574692
SNX17,0.000574692
SNX32,0.000574692
SOCS1,0.000574692
SON,0.000574692
SOX14,0.000574692
SP2,0.000574692
SPACA5,0.000574692
SPG11,0.000574692
SPRYD3,0.000574692
SPTB,0.000574692
SPTBN4,0.000574692
SSU72,0.000574692
ST7,0.000574692
SUCNR1,0.000574692
SUGT1,0.000574692
SUZ12,0.000574692
SYNPR,0.000574692
SYVN1,0.000574692
TBC1D13,0.000574692
TBCE,0.000574692
TCEB3C,0.000574692
TEX38,0.000574692
TGFB1,0.000574692
TGFBR3,0.000574692
TH,0.000574692
TMEFF1,0.000574692
TMEM234,0.000574692
TMEM52,0.000574692
TMEM88,0.000574692
TMPPE,0.000574692
TNPO3,0.000574692
TPM2,0.000574692
TRA2A,0.000574692
TRUB2,0.000574692
TTC7A,0.000574692
TTLL1,0.000574692
UBIAD1,0.000574692
UCN2,0.000574692
USP1,0.000574692
USP17L12,0.000574692
USP21,0.000574692
USP39,0.000574692
USP8,0.000574692
VAT1L,0.000574692
VSIG8,0.000574692
VWA3A,0.000574692
WDHD1,0.000574692
WFDC9,0.000574692
YIPF7,0.000574692
YY1,0.000574692
ZAP70,0.000574692
ZBTB11,0.000574692
ZBTB41,0.000574692
ZBTB42,0.000574692
ZFAT,0.000574692
ZFP28,0.000574692
ZNF114,0.000574692
ZNF300,0.000574692
ZNF467,0.000574692
ZNF639,0.000574692
ZNF669,0.000574692
ZNF778,0.000574692
9-Mar,0.000574692
