Metadata_Foci_Barcode_MatchedTo_GeneCode,Cells_Granularity_1_ConA,Cells_Granularity_2_ConA,Cells_Granularity_3_ConA,Cells_Granularity_4_ConA,Cells_Granularity_5_ConA,Cells_Granularity_7_ConA,Cells_Granularity_6_ConA,Cells_Granularity_8_ConA,Path
MANBA,0.6078825,-0.2978325,-0.07485624999999999,-0.18554575,-0.2962825,-0.3822255,-0.50388,-0.25166,Nglycan_Lyso
MGAT1,-0.6301775000000001,-0.406955,0.16616,-0.5674925,0.5183525,1.096072,0.94262,1.097095,Nglycan_Golgi
MGAT2,-0.39667175,-0.05516825,0.45219,0.09404325,0.4884125,0.3733635,0.3782525,-0.109168825,Nglycan_Golgi
MGAT3,-0.20773999999999998,0.012208999999999998,0.30404450000000005,0.247162,0.10627,-0.026915749999999995,-0.24973025000000001,-0.037757499999999986,Nglycan_Golgi
MGAT4A,-0.3241975,0.08986750000000002,0.030736750000000007,0.21001475000000003,0.24794499999999997,0.126865,-0.18604774999999998,-0.0036274999999999988,Nglycan_Golgi
MGAT4B,-0.296265,-0.1542325,-0.03866825,-0.3680775,0.13396065000000001,-0.08281924999999998,-0.019437499999999996,-0.325715,Nglycan_Golgi
MGAT4C,0.21277775,-0.2672,-0.38593,-0.34219825000000004,0.1661825,-0.42419525,-0.03233975,-0.4776125,Nglycan_Golgi
MGAT5,-0.21784462500000001,0.089315,0.195874875,0.361754,0.07873125,-0.40842025,-0.363506,-0.11558462500000001,Nglycan_Golgi
MOGS,-0.332215,0.5276725,0.268108625,-0.054866000000000005,0.17996249999999997,-0.153905,-0.04421,0.05229,Nglycan_ER
MPDU1,1.2327175,-1.0029275,-0.876255,-0.93880125,-0.80858375,-0.4690475,-0.64109125,-0.46162375,GPI
NEU1,0.105945,0.25468975,-0.00694249999999999,-0.2466575,-0.47899,-0.3074925,-0.14893825,-0.44443499999999997,Nglycan_Lyso
NEU2,-0.043105500000000005,-0.2822735,-0.29564,-0.26777825,-0.1825965,-0.06977749999999999,-0.1260225,-0.4924425,Nglycan_Cyto
NEU3,-0.09013499999999998,0.163595,0.1356885,0.21287099999999998,0.43100499999999997,0.019034999999999982,-0.08416275000000004,0.020582500000000004,Nglycan_Lyso
NEU4,-0.18772875,-0.09911249999999999,0.11911250000000001,-0.0013722500000000123,-0.11143499999999999,0.881815,0.111794,0.311127875,Nglycan_Cyto
PIGA,0.025006499999999997,0.14605475,0.008809999999999991,-0.216235,0.985865,-0.315917,0.30369,-0.27376249999999996,GPI
PIGB,-0.2099345,-0.24034850000000002,0.2383475,0.48451875,-0.037775,-0.21450225,-0.3028025,-0.39817,GPI
PIGC,0.21145425,-0.23983,-0.28102975,0.20806425,-0.3117875,0.1822715,-0.564006,-0.024060000000000005,GPI
PIGF,-0.0828075,0.07837575,-0.205473,0.165975,-0.01808499999999999,-0.3386725,-0.105911,-0.43664175,GPI
PIGH,0.15302750000000004,-0.6318674999999999,0.31724975,0.015770000000000034,-0.25418250000000003,0.5687925,0.24159750000000002,-0.624595,GPI
PIGK,-0.205122725,-0.147445,0.0879975,-0.23382749999999997,0.330267,-0.27902425,-0.40527125,-0.281425,GPI
PIGL,-0.286775,-0.2594525,-0.40204075,-0.48524,0.10315175,0.09024500000000002,0.52822,-0.6020425,GPI
PIGM,-0.550435,0.43411,0.1390025,-0.1518675,-0.19866250000000005,-0.4491025,0.010277000000000008,-0.4081825,GPI
PIGN,0.136157375,0.0953485,-0.15120025,0.02185750000000001,-0.19904,0.040624999999999994,-0.24842350000000002,-0.21433850000000002,GPI
PIGO,-0.143741,0.0001429999999999973,-0.10027749999999999,0.060061500000000004,0.1579142,-0.06873000000000001,-0.178743575,-0.13366825000000002,GPI
PIGP,-0.1217375,-0.238105,0.119195,0.3130125,0.0531875,-0.129115125,-0.08120750000000002,-0.551495,GPI
PIGQ,0.019602025000000002,0.2363095,0.1703625,-0.5439400000000001,0.0941525,-0.43618999999999997,-0.4223625,-0.4852725,GPI
PIGS,0.44427425,-0.29462299999999997,-0.16366625,-0.5988924999999999,-0.312075,0.306104,-0.1819975,0.04293425000000002,GPI
PIGT,-0.174275,-0.1749525,-0.1787105,0.1615585,0.271895,-0.420909,0.32702000000000003,-0.24972250000000001,GPI
PIGU,0.3126975,-0.140875,-0.1758735,-0.44935525,-0.4834629999999999,0.0006420750000000037,-0.06327100000000001,-0.38042750000000003,GPI
PIGV,-0.08862000000000002,-0.038561999999999985,-0.08014500000000001,-0.31730250000000004,-0.09923275,-0.3214225,0.1824882825,0.23120499999999997,GPI
PIGW,0.07888325,-0.02177175,-0.07262249999999998,-0.404935,-0.42323,-0.2469575,-0.5407355,-0.06490250000000003,GPI
PIGX,-0.03440725,-0.2751075,0.1772825,-0.1583125,0.1462775,-0.165995,-0.0727275,-0.27803,GPI
PIGY,0.36539750000000004,-0.382305,0.018887499999999988,-0.1688095,-0.380935,-0.3035825,-0.11570249999999999,-0.32131,GPI
RPN1,-0.13247124999999998,-0.27652525,-0.59647725,-0.6814525,-0.3984025,-0.38104,0.47260500000000005,0.07461249999999997,Nglycan_ER
RPN2,0.2235575,-1.0882125,-0.49428,-0.6311610000000001,-0.7798975,-0.2292685,0.228314,-0.5246575,Nglycan_ER
ST6GAL1,0.13334875,-0.17088615000000001,-0.262716685,-0.35277125,0.022515450000000003,-0.11840250000000001,-0.3277325,-0.11895125000000001,Nglycan_Golgi
ST6GAL2,0.13060250000000004,0.18331,-0.14483200000000002,-0.40336475,-0.25455075000000005,0.5815100000000001,0.016532500000000006,-0.007592499999999988,Nglycan_Golgi
STT3A,-0.22568375000000002,0.5537650000000001,0.051189750000000006,-0.5447225,-0.10233249999999999,0.07258499999999998,-0.10921425000000001,0.341535,Nglycan_ER
STT3B,0.16421750000000002,-0.44105500000000003,-0.03918249999999998,-0.45562,-0.1763425,0.08841500000000002,-0.24519249999999998,-0.271755,Nglycan_ER
TUSC3,-0.12276500000000001,0.09185525000000001,-0.2828075,0.25957,-0.066929625,-0.24234225,-0.535905,-0.3550975,Nglycan_ER
nontargeting,-0.03103386036343612,0.025195812488986783,-0.08651819856828194,-0.05052118762114537,-0.058962358193832595,-0.3387330149779736,-0.2040259940969163,-0.4453088986784141,
