,Feature,num_feat_genes,num_feat_ids,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_geneIDs
23,Cells_Correlation_Correlation_DAPI_Painting_Mito,371,316,GO:0005730,nucleolus,cellular_component,5.415778305644338e-12,4.709019236757752e-09,48,308,1357,"{51077, 27292, 134430, 10528, 6191, 57647, 6193, 64434, 55226, 65083, 6203, 9277, 9790, 5822, 10171, 6209, 56902, 27341, 6223, 84946, 11103, 10607, 23160}"
24,Cells_Correlation_Correlation_DAPI_Painting_Mito,371,316,GO:0003723,RNA binding,molecular_function,9.548450786229305e-12,4.171718148503583e-08,63,308,1389,"{51077, 27292, 134430, 10528, 6191, 57647, 6193, 64434, 55226, 65083, 6203, 9277, 9790, 5822, 10171, 6209, 56902, 27341, 6223, 84946, 11103, 10607, 23160}"
25,Cells_Correlation_Correlation_DAPI_Painting_Mito,371,316,GO:0005515,protein binding,molecular_function,6.858494768729366e-10,1.4982381822289298e-06,257,308,12647,"{51077, 27292, 134430, 10528, 6191, 57647, 6193, 64434, 55226, 65083, 6203, 9277, 9790, 5822, 10171, 6209, 56902, 27341, 6223, 84946, 11103, 10607, 23160}"
26,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0097401,synaptic vesicle lumen acidification,biological_process,1.6819325606367985e-15,2.008059284144274e-11,9,133,16,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
27,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0007035,vacuolar acidification,biological_process,1.143539185070036e-13,6.82635716527558e-10,9,133,23,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
28,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0061795,Golgi lumen acidification,biological_process,2.90221042084417e-13,1.1549830071486181e-09,7,133,10,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
29,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0048388,endosomal lumen acidification,biological_process,4.064279526759326e-12,1.2130858317494899e-08,7,133,14,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
30,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0007042,lysosomal lumen acidification,biological_process,5.682953062001005e-12,1.3569755321445999e-08,8,133,22,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
31,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0051452,intracellular pH reduction,biological_process,8.07210462879493e-12,1.6062142860530444e-08,7,133,14,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
32,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0016241,regulation of macroautophagy,biological_process,5.979812598043574e-10,1.0198997515434604e-06,9,133,55,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
33,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0030665,clathrin-coated vesicle membrane,cellular_component,1.7819251395116494e-16,3.0987678176107584e-13,11,133,29,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
34,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:1902495,transmembrane transporter complex,cellular_component,9.437357741248468e-15,8.205782556015543e-12,8,133,13,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
35,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0033176,proton-transporting V-type ATPase complex,cellular_component,4.064279526759326e-12,2.355927365678156e-09,7,133,13,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
36,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0010008,endosome membrane,cellular_component,5.249765366940683e-11,2.2823354932774617e-08,16,133,240,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
37,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",cellular_component,1.377533841424593e-10,4.103149502110085e-08,6,133,11,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
38,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0005765,lysosomal membrane,cellular_component,1.415692755184618e-10,4.103149502110085e-08,18,133,352,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
39,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0005829,cytosol,cellular_component,7.276695391971677e-09,1.8077390409483921e-06,73,133,5437,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
40,Cells_Correlation_Correlation_DAPI_Painting_WGA,151,135,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",molecular_function,7.009968156016969e-14,3.0626550873638134e-10,9,133,24,"{526, 9550, 528, 9296, 10159, 51382, 51606, 537, 9114}"
41,Cells_Correlation_Correlation_Mito_WGA,93,86,GO:0042274,ribosomal small subunit biogenesis,biological_process,2.8463875145783023e-15,3.3983020536550356e-11,12,86,72,"{84128, 51077, 56902, 10171, 6218, 2091, 6223, 57647, 64434, 84946, 23160, 65083}"
42,Cells_Correlation_Correlation_Mito_WGA,93,86,GO:0006364,rRNA processing,biological_process,1.6820194397281018e-11,1.0040815045456904e-07,11,86,115,"{84128, 51077, 56902, 10171, 6218, 2091, 6223, 57647, 64434, 84946, 23160, 65083}"
43,Cells_Correlation_Correlation_Mito_WGA,93,86,GO:0032040,small-subunit processome,cellular_component,3.400929694757542e-15,5.9142167391833654e-12,12,86,74,"{84128, 51077, 56902, 10171, 6218, 2091, 6223, 57647, 64434, 84946, 23160, 65083}"
44,Cells_Correlation_Correlation_Mito_WGA,93,86,GO:0005730,nucleolus,cellular_component,5.197657856143104e-12,4.519363505916429e-09,24,86,1357,"{84128, 51077, 56902, 10171, 6218, 2091, 6223, 57647, 64434, 84946, 23160, 65083}"
45,Cells_Correlation_Correlation_Mito_WGA,93,86,GO:0003723,RNA binding,molecular_function,1.0191059103756884e-15,4.4524737224313825e-12,34,86,1389,"{84128, 51077, 56902, 10171, 6218, 2091, 6223, 57647, 64434, 84946, 23160, 65083}"
46,Cells_Correlation_K_Cycle01_DAPI_Phalloidin,197,183,GO:0032543,mitochondrial translation,biological_process,1.321019619262206e-13,1.577165323437148e-09,15,180,94,"{29088, 51073, 51650, 740, 28998, 65993, 65003, 51021, 55278, 28977, 29074, 64978, 84340, 51318, 11222}"
47,Cells_Correlation_K_Cycle01_DAPI_Phalloidin,197,183,GO:0005739,mitochondrion,cellular_component,1.2369233531829295e-14,2.1510097111851146e-11,48,180,1367,"{29088, 51073, 51650, 740, 28998, 65993, 65003, 51021, 55278, 28977, 29074, 64978, 84340, 51318, 11222}"
48,Cells_Correlation_K_Cycle01_DAPI_Phalloidin,197,183,GO:0005743,mitochondrial inner membrane,cellular_component,9.907340718977398e-13,8.007419623899505e-10,26,180,454,"{29088, 51073, 51650, 740, 28998, 65993, 65003, 51021, 55278, 28977, 29074, 64978, 84340, 51318, 11222}"
49,Cells_Correlation_K_Cycle01_DAPI_Phalloidin,197,183,GO:0005654,nucleoplasm,cellular_component,1.3813834888843309e-12,8.007419623899505e-10,84,180,3887,"{29088, 51073, 51650, 740, 28998, 65993, 65003, 51021, 55278, 28977, 29074, 64978, 84340, 51318, 11222}"
50,Cells_Correlation_K_Cycle01_DAPI_Phalloidin,197,183,GO:0005762,mitochondrial large ribosomal subunit,cellular_component,2.8000983221263685e-11,1.2173427455444388e-08,11,180,56,"{29088, 51073, 51650, 740, 28998, 65993, 65003, 51021, 55278, 28977, 29074, 64978, 84340, 51318, 11222}"
51,Cells_Correlation_K_DAPI_Painting_Mito,117,103,GO:0005654,nucleoplasm,cellular_component,1.6064303149492594e-11,2.7935823176967622e-08,55,103,3887,"{2178, 8453, 904, 6923, 4236, 84108, 2958, 84240, 2967, 29079, 3611, 5531, 10915, 4899, 6647, 22822, 5929, 5424, 5425, 10419, 1844, 5433, 79035, 51388, 1468, 10302, 4931, 54856, 84296, 4171, 11340, 332, 4686, 23246, 9040, 51659, 389333, 25942, 79577, 10973, 7389, 5982, 5983, 5347, 7268, 6119, 79080, 7919, 5359, 23026, 7027, 1655, 1786, 55294, 25983}"
52,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0032543,mitochondrial translation,biological_process,6.108191353575858e-31,7.292569657034217e-27,24,119,94,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
53,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0006099,tricarboxylic acid cycle,biological_process,5.364480477789143e-11,3.202326621216229e-07,8,119,33,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
54,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0006412,translation,biological_process,2.1044548834048162e-10,8.375028950990033e-07,13,119,179,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
55,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0009060,aerobic respiration,biological_process,1.2362897305744034e-09,3.6900157733319507e-06,9,119,66,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
56,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0005739,mitochondrion,cellular_component,2.3826478872683095e-36,4.14342467595959e-33,61,119,1367,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
57,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0005759,mitochondrial matrix,cellular_component,8.089089033111934e-25,7.033462914290826e-22,31,119,381,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
58,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0005743,mitochondrial inner membrane,cellular_component,8.835742280461658e-23,5.1217852752409415e-20,31,119,454,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
59,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0005763,mitochondrial small ribosomal subunit,cellular_component,2.958295185903664e-16,1.286118832071618e-13,11,119,32,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
60,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0005762,mitochondrial large ribosomal subunit,cellular_component,2.9376259371243163e-13,1.0217063009318371e-10,11,119,56,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
61,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0003735,structural constituent of ribosome,molecular_function,4.7805020679527776e-14,2.0886013534885685e-10,16,119,178,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
62,Cells_Correlation_K_Mito_Phalloidin,131,121,GO:0003723,RNA binding,molecular_function,1.9876212258112863e-12,4.341958567784755e-09,36,119,1389,"{51081, 7818, 64928, 29088, 6182, 6183, 51116, 28977, 65080, 51642, 51650, 64968, 51021, 57038, 122704, 64978, 64981, 54998, 118487, 84311, 23395, 740, 55278, 55037}"
63,Cells_Correlation_K_WGA_Cycle01_DAPI,214,191,GO:0005654,nucleoplasm,cellular_component,1.562805574224701e-12,2.7177188935767552e-09,86,186,3887,"{9733, 51727, 2071, 8731, 10291, 6209, 54856, 6217, 4171, 6222, 6223, 55893, 65110, 7266, 7268, 56949, 7290, 81532, 55957, 3226, 79008, 10923, 51382, 1207, 84154, 1723, 51388, 147645, 79039, 79050, 84172, 23248, 79577, 9442, 115426, 25836, 9453, 5371, 5887, 8452, 8453, 6923, 137492, 10523, 54555, 134430, 57634, 5425, 5430, 10556, 25920, 4931, 56647, 84296, 51535, 11091, 6996, 25942, 23383, 79707, 5982, 9070, 10607, 7541, 1911, 55164, 10623, 2958, 10128, 2967, 2968, 29079, 5537, 79269, 54700, 4017, 5557, 5584, 84946, 983, 55257, 81887, 6119, 6636, 6647, 1017}"
64,Cells_Granularity_1_DAPI_Painting,99,93,GO:0005654,nucleoplasm,cellular_component,1.167506843408003e-11,2.0302944006865174e-08,51,92,3887,"{9344, 5888, 9862, 11143, 10248, 6667, 6923, 2958, 8850, 55957, 2967, 55832, 28952, 23067, 8731, 2972, 79008, 5537, 11169, 51367, 5929, 23212, 29101, 84148, 5557, 5433, 28987, 10556, 2491, 9790, 11200, 22976, 10565, 10694, 10055, 84296, 22984, 51274, 6218, 8405, 25942, 102157402, 10714, 6878, 283234, 10979, 84967, 9968, 4976, 1655, 892}"
65,Cells_Granularity_2_WGA,232,200,GO:0097401,synaptic vesicle lumen acidification,biological_process,5.616239121711765e-14,6.705227887411677e-10,9,195,16,"{523, 526, 9550, 528, 529, 51382, 51606, 537, 9114}"
66,Cells_Granularity_2_WGA,232,200,GO:0016241,regulation of macroautophagy,biological_process,1.834089347966936e-12,1.0948596362688624e-08,12,195,55,"{523, 526, 9550, 528, 529, 51382, 51606, 537, 9114}"
67,Cells_Granularity_2_WGA,232,200,GO:0030665,clathrin-coated vesicle membrane,cellular_component,1.2941862064806094e-14,2.25058981306978e-11,11,195,29,"{523, 526, 9550, 528, 529, 51382, 51606, 537, 9114}"
68,Cells_Granularity_2_WGA,232,200,GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",cellular_component,1.1987972396697575e-11,1.042354199892854e-08,7,195,11,"{523, 526, 9550, 528, 529, 51382, 51606, 537, 9114}"
69,Cells_Granularity_2_WGA,232,200,GO:1902495,transmembrane transporter complex,cellular_component,2.8473020887828252e-11,1.6504861107977778e-08,7,195,13,"{523, 526, 9550, 528, 529, 51382, 51606, 537, 9114}"
70,Cells_Granularity_2_WGA,232,200,GO:0005765,lysosomal membrane,cellular_component,2.0188399915815323e-09,8.776906863400712e-07,20,195,352,"{523, 526, 9550, 528, 529, 51382, 51606, 537, 9114}"
71,Cells_Granularity_2_WGA,232,200,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",molecular_function,2.2914952261333733e-12,1.0011542642976708e-08,9,195,24,"{523, 526, 9550, 528, 529, 51382, 51606, 537, 9114}"
72,Cells_Granularity_3_DAPI_Painting,56,53,GO:0006261,DNA-templated DNA replication,biological_process,3.681095580869204e-10,2.572368166697556e-06,6,53,28,"{11169, 5985, 5424, 10714, 5982, 5983}"
73,Cells_Granularity_3_DAPI_Painting,56,53,GO:1900264,positive regulation of DNA-directed DNA polymerase activity,biological_process,4.3091853031201197e-10,2.572368166697556e-06,5,53,13,"{11169, 5985, 5424, 10714, 5982, 5983}"
74,Cells_Granularity_3_WGA,62,58,GO:0016241,regulation of macroautophagy,biological_process,1.5162315773528057e-11,1.8102288802015148e-07,8,57,55,"{5289, 523, 9550, 527, 528, 533, 51606, 60412}"
75,Cells_Granularity_3_WGA,62,58,GO:0061795,Golgi lumen acidification,biological_process,1.239159408727962e-10,7.397162090401569e-07,5,57,10,"{5289, 523, 9550, 527, 528, 533, 51606, 60412}"
76,Cells_Granularity_3_WGA,62,58,GO:0048388,endosomal lumen acidification,biological_process,6.276875550963053e-10,2.497987240098263e-06,5,57,14,"{5289, 523, 9550, 527, 528, 533, 51606, 60412}"
77,Cells_Granularity_3_WGA,62,58,GO:0051452,intracellular pH reduction,biological_process,9.737374665447974e-10,2.9063629032695844e-06,5,57,14,"{5289, 523, 9550, 527, 528, 533, 51606, 60412}"
78,Cells_Granularity_3_WGA,62,58,GO:0097401,synaptic vesicle lumen acidification,biological_process,2.1129352967270768e-09,5.045266901524914e-06,5,57,16,"{5289, 523, 9550, 527, 528, 533, 51606, 60412}"
79,Cells_Granularity_3_WGA,62,58,GO:1902495,transmembrane transporter complex,cellular_component,4.1000180164447375e-15,7.129931330597398e-12,7,57,13,"{5289, 523, 9550, 527, 528, 533, 51606, 60412}"
80,Cells_Granularity_3_WGA,62,58,GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",cellular_component,2.2655902242712247e-10,1.9699307000038298e-07,5,57,11,"{5289, 523, 9550, 527, 528, 533, 51606, 60412}"
81,Cells_Granularity_3_WGA,62,58,GO:0030665,clathrin-coated vesicle membrane,cellular_component,5.790959343944542e-10,2.728871645781187e-07,6,57,29,"{5289, 523, 9550, 527, 528, 533, 51606, 60412}"
82,Cells_Granularity_3_WGA,62,58,GO:0033176,proton-transporting V-type ATPase complex,cellular_component,6.276875550963053e-10,2.728871645781187e-07,5,57,13,"{5289, 523, 9550, 527, 528, 533, 51606, 60412}"
83,Cells_Granularity_3_WGA,62,58,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",molecular_function,8.588273282963806e-13,3.752216597326887e-09,7,57,24,"{5289, 523, 9550, 527, 528, 533, 51606, 60412}"
84,Cells_Granularity_5_DAPI_Painting,198,173,GO:0005654,nucleoplasm,cellular_component,1.8845759107028795e-12,3.2772775087123076e-09,80,169,3887,"{6670, 124944, 2068, 11284, 27158, 113174, 55320, 8731, 51750, 91687, 51251, 8243, 10808, 26173, 7756, 6749, 8295, 9837, 57461, 7295, 80004, 9869, 23195, 8861, 84135, 54957, 51382, 2237, 9918, 7358, 134353, 10459, 25820, 79072, 5347, 25836, 54512, 9968, 116985, 5888, 5889, 11016, 6923, 80145, 90390, 134430, 7469, 5425, 5435, 28989, 1854, 79677, 85313, 10055, 84296, 25929, 23383, 9055, 5983, 5985, 6500, 9070, 1911, 891, 51585, 3978, 80790, 5531, 5537, 1961, 5558, 85437, 57794, 9156, 51659, 55777, 6119, 84971, 2547, 4605}"
85,Cells_Granularity_5_DAPI_Painting,198,173,GO:0005634,nucleus,cellular_component,2.1006553527425214e-10,1.8265198292096222e-07,91,169,5616,"{6670, 124944, 2068, 11284, 27158, 113174, 55320, 8731, 51750, 91687, 51251, 8243, 10808, 26173, 7756, 6749, 8295, 9837, 57461, 7295, 80004, 9869, 23195, 8861, 84135, 54957, 51382, 2237, 9918, 7358, 134353, 10459, 25820, 79072, 5347, 25836, 54512, 9968, 116985, 5888, 5889, 11016, 6923, 80145, 90390, 134430, 7469, 5425, 5435, 28989, 1854, 79677, 85313, 10055, 84296, 25929, 23383, 9055, 5983, 5985, 6500, 9070, 1911, 891, 51585, 3978, 80790, 5531, 5537, 1961, 5558, 85437, 57794, 9156, 51659, 55777, 6119, 84971, 2547, 4605}"
86,Cells_Intensity_IntegratedIntensityEdge_Mito,145,129,GO:1900264,positive regulation of DNA-directed DNA polymerase activity,biological_process,3.8135041655007404e-10,4.552942623191334e-06,6,127,13,"{11232, 5985, 51659, 9837, 5982, 5983}"
87,Cells_Intensity_IntegratedIntensityEdge_Mito,145,129,GO:0005654,nucleoplasm,cellular_component,1.241008978123263e-11,2.1581146129563543e-08,64,127,3887,"{11232, 5985, 51659, 9837, 5982, 5983}"
88,Cells_Intensity_IntegratedIntensityEdge_Phalloidin,253,225,GO:0032543,mitochondrial translation,biological_process,1.9594934489018561e-13,2.3394392286439263e-09,16,223,94,"{55168, 84545, 29088, 51650, 64968, 51116, 51021, 55278, 28977, 56945, 64949, 51318, 118487, 11222, 26589, 84311}"
89,Cells_Intensity_IntegratedIntensityEdge_Phalloidin,253,225,GO:1900264,positive regulation of DNA-directed DNA polymerase activity,biological_process,1.5686534049250067e-10,9.364076500699828e-07,7,223,13,"{55168, 84545, 29088, 51650, 64968, 51116, 51021, 55278, 28977, 56945, 64949, 51318, 118487, 11222, 26589, 84311}"
90,Cells_Intensity_IntegratedIntensityEdge_Phalloidin,253,225,GO:0005739,mitochondrion,cellular_component,1.3497366639869412e-15,2.3471920586732906e-12,56,223,1367,"{55168, 84545, 29088, 51650, 64968, 51116, 51021, 55278, 28977, 56945, 64949, 51318, 118487, 11222, 26589, 84311}"
