,Feature,num_feat_genes,num_feat_ids,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_geneIDs
10,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0005654,nucleoplasm,cellular_component,4.5546406074855437e-14,3.96026000820868e-11,131,314,3887,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
11,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0005730,nucleolus,cellular_component,3.831747253482935e-11,2.2211361579356082e-08,47,314,1357,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
12,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0101019,nucleolar exosome (RNase complex),cellular_component,1.263540983908538e-10,5.493244427542369e-08,7,314,10,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
13,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0000176,nuclear exosome (RNase complex),cellular_component,8.059640418287271e-10,2.8031429374803127e-07,7,314,12,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
14,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0000177,cytoplasmic exosome (RNase complex),cellular_component,1.716727808936482e-09,4.975649432900904e-07,7,314,13,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
15,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0000178,exosome (RNase complex),cellular_component,6.2219288808460075e-09,1.5457049033987437e-06,7,314,15,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
16,Cells_Correlation_Correlation_ConA_DAPI_Painting,357,321,GO:0003723,RNA binding,molecular_function,6.979312953174607e-12,3.049261829241986e-08,64,314,1389,"{51602, 10775, 51096, 8602, 134430, 84128, 51367, 84135, 88745, 23223, 92856, 65083, 10556, 118460, 6209, 51010, 4931, 27340, 56915, 6229, 6232, 23016, 23404, 55661, 54512, 1662}"
17,Cells_Correlation_Correlation_ConA_Phalloidin,278,242,GO:0042274,ribosomal small subunit biogenesis,biological_process,3.194776652365625e-11,3.81424384525932e-07,13,235,72,"{10885, 84135, 10607, 51602, 84946, 6228, 51096, 10199, 92856, 57050, 27292, 9277, 5822}"
18,Cells_Correlation_Correlation_ConA_Phalloidin,278,242,GO:0032040,small-subunit processome,cellular_component,2.2977561047575154e-12,3.995797866173319e-09,14,235,74,"{10885, 84135, 10607, 51602, 84946, 6228, 51096, 10199, 92856, 57050, 27292, 9277, 5822}"
19,Cells_Correlation_Correlation_ConA_Phalloidin,278,242,GO:0005654,nucleoplasm,cellular_component,1.8794011688187795e-10,1.6341393162879287e-07,97,235,3887,"{10885, 84135, 10607, 51602, 84946, 6228, 51096, 10199, 92856, 57050, 27292, 9277, 5822}"
20,Cells_Correlation_Correlation_ConA_Phalloidin,278,242,GO:0003723,RNA binding,molecular_function,1.4081872827047486e-13,6.152370238137046e-10,56,235,1389,"{10885, 84135, 10607, 51602, 84946, 6228, 51096, 10199, 92856, 57050, 27292, 9277, 5822}"
21,Cells_Correlation_Correlation_ConA_WGA,241,220,GO:0006364,rRNA processing,biological_process,3.193866942404731e-17,3.8131577425370085e-13,20,217,115,"{5393, 51602, 51096, 134430, 84128, 51367, 84135, 88745, 2091, 23223, 10556, 4931, 54853, 22984, 6217, 27340, 9188, 54512, 51575, 1662}"
22,Cells_Correlation_Correlation_ConA_WGA,241,220,GO:0042274,ribosomal small subunit biogenesis,biological_process,6.317458389069094e-13,3.771206785354796e-09,14,217,72,"{5393, 51602, 51096, 134430, 84128, 51367, 84135, 88745, 2091, 23223, 10556, 4931, 54853, 22984, 6217, 27340, 9188, 54512, 51575, 1662}"
23,Cells_Correlation_Correlation_ConA_WGA,241,220,GO:0032040,small-subunit processome,cellular_component,3.8813992462981545e-14,6.749753289312491e-11,15,217,74,"{5393, 51602, 51096, 134430, 84128, 51367, 84135, 88745, 2091, 23223, 10556, 4931, 54853, 22984, 6217, 27340, 9188, 54512, 51575, 1662}"
24,Cells_Correlation_Correlation_ConA_WGA,241,220,GO:0003723,RNA binding,molecular_function,4.2467169437830604e-10,1.8553906327388192e-06,47,217,1389,"{5393, 51602, 51096, 134430, 84128, 51367, 84135, 88745, 2091, 23223, 10556, 4931, 54853, 22984, 6217, 27340, 9188, 54512, 51575, 1662}"
25,Cells_Correlation_Correlation_Cycle01_DAPI_Mito,433,368,GO:0042274,ribosomal small subunit biogenesis,biological_process,5.1062788947101e-17,6.09638637239439e-13,20,357,72,"{10885, 51602, 51096, 27292, 84128, 10528, 64434, 65083, 10171, 9277, 6205, 6208, 6209, 10436, 84946, 6228, 6232, 57050, 11103, 25983}"
26,Cells_Correlation_Correlation_Cycle01_DAPI_Mito,433,368,GO:0032040,small-subunit processome,cellular_component,1.201146467064295e-15,2.088793706224809e-12,19,357,74,"{10885, 51602, 51096, 27292, 84128, 10528, 64434, 65083, 10171, 9277, 6205, 6208, 6209, 10436, 84946, 6228, 6232, 57050, 11103, 25983}"
27,Cells_Correlation_Correlation_Cycle01_DAPI_Mito,433,368,GO:0003723,RNA binding,molecular_function,1.0168625100968714e-10,4.442672306613231e-07,67,357,1389,"{10885, 51602, 51096, 27292, 84128, 10528, 64434, 65083, 10171, 9277, 6205, 6208, 6209, 10436, 84946, 6228, 6232, 57050, 11103, 25983}"
28,Cells_Correlation_Correlation_DAPI_Painting_Mito,189,163,GO:0042274,ribosomal small subunit biogenesis,biological_process,1.2462550373000134e-25,1.4879038890324862e-21,21,161,72,"{55813, 10885, 51077, 51602, 51096, 27292, 10528, 88745, 65083, 9277, 9790, 6208, 6209, 27340, 27341, 6228, 6229, 6232, 57050, 11103, 25983}"
29,Cells_Correlation_Correlation_DAPI_Painting_Mito,189,163,GO:0006364,rRNA processing,biological_process,4.3816163751584757e-17,2.615605895150852e-13,18,161,115,"{55813, 10885, 51077, 51602, 51096, 27292, 10528, 88745, 65083, 9277, 9790, 6208, 6209, 27340, 27341, 6228, 6229, 6232, 57050, 11103, 25983}"
30,Cells_Correlation_Correlation_DAPI_Painting_Mito,189,163,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process,1.6106133703275256e-12,6.409704342780109e-09,9,161,27,"{55813, 10885, 51077, 51602, 51096, 27292, 10528, 88745, 65083, 9277, 9790, 6208, 6209, 27340, 27341, 6228, 6229, 6232, 57050, 11103, 25983}"
31,Cells_Correlation_Correlation_DAPI_Painting_Mito,189,163,GO:0032040,small-subunit processome,cellular_component,7.839348320219976e-24,1.3632626728862537e-20,20,161,74,"{55813, 10885, 51077, 51602, 51096, 27292, 10528, 88745, 65083, 9277, 9790, 6208, 6209, 27340, 27341, 6228, 6229, 6232, 57050, 11103, 25983}"
32,Cells_Correlation_Correlation_DAPI_Painting_Mito,189,163,GO:0005730,nucleolus,cellular_component,1.3582226959118387e-12,1.1809746340953438e-09,34,161,1357,"{55813, 10885, 51077, 51602, 51096, 27292, 10528, 88745, 65083, 9277, 9790, 6208, 6209, 27340, 27341, 6228, 6229, 6232, 57050, 11103, 25983}"
33,Cells_Correlation_Correlation_DAPI_Painting_Mito,189,163,GO:0003723,RNA binding,molecular_function,7.8066645983439795e-16,3.4107317630164848e-12,48,161,1389,"{55813, 10885, 51077, 51602, 51096, 27292, 10528, 88745, 65083, 9277, 9790, 6208, 6209, 27340, 27341, 6228, 6229, 6232, 57050, 11103, 25983}"
34,Cells_Correlation_Correlation_Mito_Phalloidin,150,134,GO:0006364,rRNA processing,biological_process,3.882392485331705e-13,3.62443745034189e-09,14,133,115,"{55299, 4931, 9188, 22984, 79050, 2091, 27340, 55661, 51602, 10556, 51575, 6232, 118460, 1662}"
35,Cells_Correlation_Correlation_Mito_Phalloidin,150,134,GO:0042274,ribosomal small subunit biogenesis,biological_process,6.071593015063053e-13,3.62443745034189e-09,12,133,72,"{55299, 4931, 9188, 22984, 79050, 2091, 27340, 55661, 51602, 10556, 51575, 6232, 118460, 1662}"
36,Cells_Correlation_Correlation_Mito_Phalloidin,150,134,GO:0032040,small-subunit processome,cellular_component,8.25230548980084e-16,1.435075924676366e-12,14,133,74,"{55299, 4931, 9188, 22984, 79050, 2091, 27340, 55661, 51602, 10556, 51575, 6232, 118460, 1662}"
37,Cells_Correlation_Correlation_Mito_Phalloidin,150,134,GO:0005730,nucleolus,cellular_component,7.122351774443376e-10,6.192884867878515e-07,27,133,1357,"{55299, 4931, 9188, 22984, 79050, 2091, 27340, 55661, 51602, 10556, 51575, 6232, 118460, 1662}"
38,Cells_Correlation_Correlation_Mito_Phalloidin,150,134,GO:0003723,RNA binding,molecular_function,2.8944163845250046e-17,1.2645705183989746e-13,45,133,1389,"{55299, 4931, 9188, 22984, 79050, 2091, 27340, 55661, 51602, 10556, 51575, 6232, 118460, 1662}"
39,Cells_Correlation_Correlation_Mito_WGA,272,239,GO:0042274,ribosomal small subunit biogenesis,biological_process,1.0977838095954769e-20,1.31064409027604e-16,20,233,72,"{51077, 51602, 51096, 8602, 84128, 10528, 84135, 88745, 9277, 5822, 102724159, 27340, 26574, 84946, 6229, 55127, 6232, 57050, 11103, 23160}"
40,Cells_Correlation_Correlation_Mito_WGA,272,239,GO:0006364,rRNA processing,biological_process,7.566167076655843e-18,4.516623436409706e-14,21,233,115,"{51077, 51602, 51096, 8602, 84128, 10528, 84135, 88745, 9277, 5822, 102724159, 27340, 26574, 84946, 6229, 55127, 6232, 57050, 11103, 23160}"
41,Cells_Correlation_Correlation_Mito_WGA,272,239,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process,4.508638808923323e-11,1.794287957991185e-07,9,233,27,"{51077, 51602, 51096, 8602, 84128, 10528, 84135, 88745, 9277, 5822, 102724159, 27340, 26574, 84946, 6229, 55127, 6232, 57050, 11103, 23160}"
42,Cells_Correlation_Correlation_Mito_WGA,272,239,GO:0032040,small-subunit processome,cellular_component,4.136175927389695e-19,7.192809937730679e-16,19,233,74,"{51077, 51602, 51096, 8602, 84128, 10528, 84135, 88745, 9277, 5822, 102724159, 27340, 26574, 84946, 6229, 55127, 6232, 57050, 11103, 23160}"
43,Cells_Correlation_Correlation_Mito_WGA,272,239,GO:0003723,RNA binding,molecular_function,9.584045963837001e-14,4.187269681600386e-10,56,233,1389,"{51077, 51602, 51096, 8602, 84128, 10528, 84135, 88745, 9277, 5822, 102724159, 27340, 26574, 84946, 6229, 55127, 6232, 57050, 11103, 23160}"
44,Cells_Correlation_K_Cycle01_DAPI_Mito,162,141,GO:0006268,DNA unwinding involved in DNA replication,biological_process,3.0487665771758054e-10,3.639922416490194e-06,7,136,21,"{5888, 4171, 4172, 9837, 4174, 4176, 64785}"
45,Cells_Correlation_K_Cycle01_DAPI_Mito,162,141,GO:0005654,nucleoplasm,cellular_component,1.3452903136861446e-17,2.3394598555002056e-14,77,136,3887,"{5888, 4171, 4172, 9837, 4174, 4176, 64785}"
46,Cells_Correlation_K_Cycle01_DAPI_Mito,162,141,GO:0005634,nucleus,cellular_component,2.7938106053671656e-12,2.4292183213667505e-09,81,136,5616,"{5888, 4171, 4172, 9837, 4174, 4176, 64785}"
47,Cells_Correlation_K_Cycle01_DAPI_Mito,162,141,GO:0071162,CMG complex,cellular_component,1.5775480074479296e-10,9.144519949839832e-08,6,136,11,"{5888, 4171, 4172, 9837, 4174, 4176, 64785}"
48,Cells_Correlation_K_Cycle01_DAPI_Mito,162,141,GO:0071011,precatalytic spliceosome,cellular_component,8.757118300102345e-09,3.25151948935612e-06,6,136,20,"{5888, 4171, 4172, 9837, 4174, 4176, 64785}"
49,Cells_Correlation_K_Cycle01_DAPI_Mito,162,141,GO:0071005,U2-type precatalytic spliceosome,cellular_component,9.348819693375849e-09,3.25151948935612e-06,8,136,50,"{5888, 4171, 4172, 9837, 4174, 4176, 64785}"
50,Cells_Correlation_K_Cycle01_DAPI_Mito,162,141,GO:0017116,single-stranded DNA helicase activity,molecular_function,2.0470605151931426e-10,8.94360739087884e-07,7,136,20,"{5888, 4171, 4172, 9837, 4174, 4176, 64785}"
51,Cells_Correlation_K_Cycle01_DAPI_WGA,278,251,GO:0005654,nucleoplasm,cellular_component,2.5359766743487564e-19,4.4100634366924876e-16,120,246,3887,"{523, 8208, 56852, 253461, 10262, 100134934, 55832, 1051, 3619, 51750, 23594, 5689, 11321, 26173, 124995, 3146, 11339, 4172, 4173, 4174, 6223, 86, 102157402, 602, 56924, 56929, 23649, 55907, 10855, 8295, 30827, 9837, 9349, 1163, 58517, 7317, 9879, 10403, 57508, 56998, 7355, 5822, 4802, 9416, 147657, 25804, 3276, 9939, 6879, 3297, 9443, 6884, 79080, 7913, 144108, 9453, 9968, 8945, 9978, 5885, 5888, 8451, 6923, 64785, 10001, 5905, 8479, 6432, 51491, 11051, 5932, 5427, 84285, 51006, 10054, 10055, 3921, 11103, 57696, 5983, 5984, 5985, 6502, 9063, 55656, 7528, 84844, 22893, 7536, 892, 10625, 25988, 902, 2958, 10128, 2961, 80789, 85403, 5537, 7073, 11169, 29102, 23476, 5557, 5558, 11193, 51138, 84930, 6606, 84946, 387032, 10714, 55781, 6118, 6119, 6632, 55284, 1017, 55291, 55294}"
52,Cells_Correlation_K_DAPI_Painting_Phalloidin,50,46,GO:0005654,nucleoplasm,cellular_component,1.7946699040265713e-10,3.120930963102207e-07,30,44,3887,"{22916, 9477, 23435, 6923, 2958, 80789, 55703, 29079, 3611, 8607, 51750, 29101, 5424, 5683, 11321, 5691, 5439, 5695, 5701, 3276, 25942, 10714, 6502, 55656, 144108, 9837, 9968, 6390, 9978, 55294}"
53,Cells_Correlation_K_DAPI_Painting_WGA,173,156,GO:0005654,nucleoplasm,cellular_component,5.271353027520751e-12,9.166882914858587e-09,74,154,3887,"{5888, 10625, 25988, 9349, 6662, 9092, 902, 11017, 523, 1163, 6923, 2958, 29072, 64785, 10001, 2961, 7317, 10262, 80789, 29079, 3611, 1051, 23195, 85403, 6432, 5537, 7073, 51491, 51750, 11051, 5426, 5684, 5558, 5689, 11321, 6201, 5435, 26173, 5822, 4802, 322, 51138, 84930, 54856, 29128, 3146, 3276, 208, 5585, 86, 983, 53981, 11103, 5983, 56929, 5984, 55907, 25957, 6502, 8295, 9063, 55656, 7528, 30827, 144108, 9837, 84844, 6118, 7536, 6632, 6637, 9978, 892, 55294}"
54,Cells_Correlation_K_Mito_Cycle01_DAPI,302,267,GO:0000398,"mRNA splicing, via spliceosome",biological_process,2.2247202733736886e-11,2.656093534380847e-07,20,265,187,"{22916, 9733, 9092, 11157, 10262, 9879, 22938, 10291, 11193, 56259, 9416, 9939, 27238, 6632, 6633, 23658, 26986, 84844, 7536, 55285}"
55,Cells_Correlation_K_Mito_Cycle01_DAPI,302,267,GO:0006268,DNA unwinding involved in DNA replication,biological_process,9.145607989293508e-10,5.45947068920876e-06,8,265,21,"{22916, 9733, 9092, 11157, 10262, 9879, 22938, 10291, 11193, 56259, 9416, 9939, 27238, 6632, 6633, 23658, 26986, 84844, 7536, 55285}"
56,Cells_Correlation_K_Mito_Cycle01_DAPI,302,267,GO:0005654,nucleoplasm,cellular_component,5.944733306579186e-25,1.0337891220141203e-21,137,265,3887,"{22916, 9733, 9092, 11157, 10262, 9879, 22938, 10291, 11193, 56259, 9416, 9939, 27238, 6632, 6633, 23658, 26986, 84844, 7536, 55285}"
57,Cells_Correlation_K_Mito_Cycle01_DAPI,302,267,GO:0005634,nucleus,cellular_component,1.3024799537987475e-11,1.132506319828011e-08,133,265,5616,"{22916, 9733, 9092, 11157, 10262, 9879, 22938, 10291, 11193, 56259, 9416, 9939, 27238, 6632, 6633, 23658, 26986, 84844, 7536, 55285}"
58,Cells_Correlation_K_Mito_Cycle01_DAPI,302,267,GO:0071162,CMG complex,cellular_component,1.040010061763763e-10,6.028591658023946e-08,7,265,11,"{22916, 9733, 9092, 11157, 10262, 9879, 22938, 10291, 11193, 56259, 9416, 9939, 27238, 6632, 6633, 23658, 26986, 84844, 7536, 55285}"
59,Cells_Correlation_K_Mito_Cycle01_DAPI,302,267,GO:0017116,single-stranded DNA helicase activity,molecular_function,5.744134957910391e-10,2.50961256311105e-06,8,265,20,"{22916, 9733, 9092, 11157, 10262, 9879, 22938, 10291, 11193, 56259, 9416, 9939, 27238, 6632, 6633, 23658, 26986, 84844, 7536, 55285}"
60,Cells_Correlation_K_Mito_WGA,289,257,GO:0017119,Golgi transport complex,cellular_component,1.2166972163776892e-09,2.057087243855848e-06,6,252,9,"{9382, 22796, 91949, 25839, 84342, 83548}"
61,Cells_Correlation_K_Mito_WGA,289,257,GO:0032039,integrator complex,cellular_component,2.3658277675167894e-09,2.057087243855848e-06,7,252,19,"{9382, 22796, 91949, 25839, 84342, 83548}"
62,Cells_Correlation_K_Mito_WGA,289,257,GO:0030665,clathrin-coated vesicle membrane,cellular_component,8.519074854663275e-09,4.938223724086479e-06,8,252,29,"{9382, 22796, 91949, 25839, 84342, 83548}"
63,Cells_Correlation_K_Phalloidin_Cycle01_DAPI,43,42,GO:0005654,nucleoplasm,cellular_component,1.6213614687036665e-09,2.819547594075676e-06,28,42,3887,"{2176, 8453, 2958, 10262, 9879, 2071, 29079, 54555, 7329, 29101, 6830, 5426, 5427, 1460, 83892, 11321, 60, 5695, 25942, 10714, 6749, 11103, 9443, 6502, 55656, 10856, 6390, 55294}"
64,Cells_Correlation_K_WGA_Cycle01_DAPI,431,375,GO:0005654,nucleoplasm,cellular_component,3.87657198352874e-12,6.741358679356479e-09,143,369,3887,"{6662, 523, 8208, 253461, 10262, 100134934, 23067, 1051, 51747, 51750, 23594, 11321, 5689, 26173, 6210, 54856, 6218, 4171, 4172, 11339, 4174, 4175, 2128, 6223, 5710, 9810, 86, 23126, 602, 56924, 23649, 56929, 55907, 8295, 30827, 9837, 4720, 23160, 8317, 3712, 9349, 58517, 7317, 3224, 10403, 57508, 88745, 9897, 6827, 4782, 54962, 7355, 4796, 5822, 4802, 9416, 3276, 9939, 8409, 25820, 9439, 3297, 10978, 9443, 7913, 144108, 9453, 9968, 9978, 5371, 5888, 5889, 8451, 8453, 6923, 23310, 10001, 5905, 8467, 8479, 6432, 51491, 5411, 5932, 5424, 5426, 5427, 112950, 11066, 28987, 79172, 57673, 25929, 339287, 10073, 9054, 11103, 57696, 5983, 6502, 9063, 55656, 3430, 84844, 22893, 53615, 7536, 7027, 892, 10625, 22916, 25988, 902, 904, 2958, 10128, 2961, 80789, 85403, 11169, 5537, 29102, 1457, 23476, 3508, 5557, 5558, 11193, 10171, 84930, 56259, 26054, 55756, 6606, 468, 387032, 4066, 55781, 6119, 6632, 6637, 55291, 55294}"
65,Cells_Correlation_K_WGA_DAPI_Painting,216,194,GO:0005654,nucleoplasm,cellular_component,7.429752501821237e-14,1.2920339600667131e-10,91,193,3887,"{6662, 523, 100134934, 2071, 10262, 3611, 51750, 8233, 23594, 7737, 5689, 124995, 3146, 11339, 6229, 6749, 10336, 56929, 4194, 55907, 23649, 10855, 8295, 9837, 8317, 9349, 1163, 58517, 7317, 51385, 4802, 23243, 3276, 23246, 9939, 8409, 53981, 9443, 9968, 7922, 9978, 5371, 5888, 8452, 8454, 11017, 6923, 10001, 10514, 6432, 11051, 5426, 5435, 56647, 5983, 11103, 57696, 25957, 6502, 55656, 51564, 22893, 84844, 7536, 9589, 892, 10625, 25988, 902, 57222, 2958, 29072, 2961, 80789, 5537, 83892, 5558, 84930, 56259, 29128, 6606, 5585, 59348, 387032, 10714, 6118, 6119, 6632, 6135, 55291, 55294}"
66,Cells_Granularity_1_DAPI_Painting,305,266,GO:0042274,ribosomal small subunit biogenesis,biological_process,2.4644567871606397e-18,2.942314958191088e-14,19,260,72,"{55813, 10885, 51077, 27292, 134430, 10528, 84135, 6191, 57647, 65083, 5822, 6207, 6209, 56902, 27341, 26574, 57050, 55781, 23160}"
67,Cells_Granularity_1_DAPI_Painting,305,266,GO:0032040,small-subunit processome,cellular_component,7.490567380505779e-17,1.302609667469955e-13,18,260,74,"{55813, 10885, 51077, 27292, 134430, 10528, 84135, 6191, 57647, 65083, 5822, 6207, 6209, 56902, 27341, 26574, 57050, 55781, 23160}"
68,Cells_Granularity_1_DAPI_Painting,305,266,GO:0005654,nucleoplasm,cellular_component,2.110446787807362e-16,1.8350334819985013e-13,119,260,3887,"{55813, 10885, 51077, 27292, 134430, 10528, 84135, 6191, 57647, 65083, 5822, 6207, 6209, 56902, 27341, 26574, 57050, 55781, 23160}"
69,Cells_Granularity_1_DAPI_Painting,305,266,GO:0003723,RNA binding,molecular_function,1.7641544203082684e-15,7.707590662326825e-12,63,260,1389,"{55813, 10885, 51077, 27292, 134430, 10528, 84135, 6191, 57647, 65083, 5822, 6207, 6209, 56902, 27341, 26574, 57050, 55781, 23160}"
70,Cells_Granularity_2_Phalloidin,145,123,GO:0042274,ribosomal small subunit biogenesis,biological_process,2.1833937088705627e-16,2.606753749020565e-12,14,123,72,"{10528, 10885, 56902, 84135, 51077, 92856, 6228, 11103, 23160, 6234, 65083, 27292, 9790, 6207}"
71,Cells_Granularity_2_Phalloidin,145,123,GO:0032040,small-subunit processome,cellular_component,7.213964960724825e-18,1.2545085066700472e-14,15,123,74,"{10528, 10885, 56902, 84135, 51077, 92856, 6228, 11103, 23160, 6234, 65083, 27292, 9790, 6207}"
72,Cells_Granularity_2_Phalloidin,145,123,GO:0005730,nucleolus,cellular_component,2.9604577424767585e-09,2.5741180070835414e-06,25,123,1357,"{10528, 10885, 56902, 84135, 51077, 92856, 6228, 11103, 23160, 6234, 65083, 27292, 9790, 6207}"
73,Cells_Granularity_2_Phalloidin,145,123,GO:0003723,RNA binding,molecular_function,2.3143288765985427e-13,1.0111302861859033e-09,38,123,1389,"{10528, 10885, 56902, 84135, 51077, 92856, 6228, 11103, 23160, 6234, 65083, 27292, 9790, 6207}"
74,Cells_Granularity_4_DAPI_Painting,367,312,GO:0006260,DNA replication,biological_process,8.450474734512187e-13,1.00890217855341e-08,17,307,91,"{5985, 9401, 6118, 6119, 54921, 90381, 4175, 8208, 4176, 5424, 5425, 25942, 5983, 1017, 29980, 1854, 116447}"
75,Cells_Granularity_4_DAPI_Painting,367,312,GO:0008380,RNA splicing,biological_process,8.715704151273891e-10,5.2028395931029496e-06,19,307,183,"{5985, 9401, 6118, 6119, 54921, 90381, 4175, 8208, 4176, 5424, 5425, 25942, 5983, 1017, 29980, 1854, 116447}"
76,Cells_Granularity_4_DAPI_Painting,367,312,GO:0005654,nucleoplasm,cellular_component,2.34629734986993e-10,4.080211091423808e-07,119,307,3887,"{5985, 9401, 6118, 6119, 54921, 90381, 4175, 8208, 4176, 5424, 5425, 25942, 5983, 1017, 29980, 1854, 116447}"
